iter	Passed	Remaining
0	10	10441
1	20	10435
2	33	10976
3	40	10051
4	48	9624
5	64	10626
6	71	10198
7	85	10561
8	98	10879
9	118	11712
10	123	11069
11	128	10543
12	133	10128
13	138	9781
14	154	10159
15	174	10758
16	191	11051
17	202	11020
18	208	10784
19	217	10636
20	231	10797
21	236	10534
22	256	10886
23	261	10627
24	271	10573
25	281	10563
26	291	10517
27	303	10542
28	310	10400
29	330	10680
30	335	10487
31	341	10335
32	353	10350
33	359	10219
34	369	10183
35	374	10028
36	391	10181
37	400	10131
38	409	10090
39	414	9953
40	424	9919
41	429	9792
42	434	9671
43	441	9587
44	448	9522
45	458	9509
46	468	9499
47	477	9479
48	484	9393
49	489	9292
50	495	9215451	505	9205552	510	91156	548	9075
57	557	9059
58	565	9016
59	571	8951
6057	558	9076158	572	9136259	591	9260
60	604	9312
61	616	9328
62	636	9470
63	649	9491
64	658	9468
65	671	9503
66	677	9429
67	694	9524
68	700	9447
69	707	9400
70	722	9453
71	732	9435
72	739	9388
73	744	9316
74	749	9243
75	754	9175
76	762	9140
77	770	9105
78	776	9056
79	784	9027
80	792	8986
81	808	9052
82	813	8988
83	821	8956
84	831	8947
85	838	8909
86	845	8868
87	854	8860
88	860	8805
89	868	8779390	873	87294	907	8649
9592	892	8709693	908	8752
94	915	8729895	922	8689996	935	8711
97	952	8768
98	964	8775
99	978	8809
100	991	8826
101	1001	8815
102	1008	8786
103	1024	8830
104	1040	8868
105	1050	8859
106	1055	8807
107	1065	8802
108	1072	8770
109	1077	8721
1113	1085	8434
114	1093	8413
115	1098	8372
116	1106	8353
117	1111	83101118	1119	82911119	1130	82881120	1140	82861121	1153	8304119	1170	8583
1123	1169	82651124	1181	82681125	1186	8230123	1210	8549
1127	1205	8210125	1232	8547
126	1251	8601
127	1260	8590
128	1271	8584
129	1276	8542
130	1283	8516
131	1289	8481
132	1294	8440
1136	1292	81401137	1298	81101138	1310	8115136	1333	8400
137	1348	8425
138	1358	8414
139	1371	8427
140	1378	8396
141	1391	8407
142	1400	8393
143	1410	8382
144	1419	8369
145	1424	8334
146	1429	8296
1150	1422	79991151	1435	8010
152	1440	7976150	1476	8303
151	1486	8290
152	1493	8266
153	1501	8248
154	1506	8212
155	1520	8225
156	1529	8210
157	1534	8175
158	1544	8167
1162	1531	78661163	1537	78361164	1551	7849162	1590	8168
163	1597	8145
1167	1582	78341168	1594	7840
169	1601	78201170	1609	78041171	1619	7796169	1657	8094
170	1663	8065
171	1677	8073
172	1685	8058
173	1697	8058
174	1705	8041
1178	1687	7738176	1722	8007
177	1730	7991
178	1736	7963
179	1745	7952
180	1751	7924
1184	1739	76641185	1751	76631186	1762	76611187	1776	7674
188	1786	7665
189	1792	7640
190	1797	7613188	1831	7859
189	1848	7882
190	1863	7893
191	1877	7900
192	1887	7894
193	1894	7871
194	1909	7883
195	1922	7887
196	1932	7878
197	1939	7857
198	1946	7833
199	1951	7806
200	1957	7779
201	1965	7763
202	1971	7739
203	1994	7784
204	2014	7813
205	2027	7812
206	2035	7796
207	2044	7785
208	2057	7785
209	2064	7765
210	2075	7761
211	2085	7752
212	2093	7733
213	2112	7757
214	2122	7749
215	2142	7775
216	2151	7764
217	2159	7745
218	2164	7718
219	2174	7711
220	2181	7687
221	2186	7661
222	2195	7648
223	2201	7625
224	2210	7615
225	2217	7592
226	2225	7579
227	2236	7573
228	2243	7554
229	2253	7543
230	2258	7517
231	2267	7505
232	2272	7481
233	2278	7457
234	2286	7441
235	2291	7419
236	2300	7406
237	2306	7383
238	2315	7371
239	2329	7376
240	2334	7352
241	2344	7342
242	2348	7317
243	2354	7293
2247	2353	7136
248	2361	7123
249	2366	7100
250	2375	7089
251	2380	70662252	2389	70532253	2413	7087
254	2424	7084
255	2436	7082
256	2448	7078
257	2457	7068
258	2462	7045
259	2475	7045
260	2486	7041
261	2498	7038
262	2504	7017
263	2511	7001
264	2520	6989
265	2528	6977
266	2533	6955
267	2538	6933
268	2550	6929
269	2558	6917
270	2573	6921
271	2584	6916
272	2590	6898
273	2598	6886
274	2609	6878
275	2623	6882
276	2628	6861
277	2637	6851
278	2652	6854
279	2671	6870
280	2692	6889
281	2698	6869
282	2705	6853
283	2714	6843
284	2729	6847
285	2734	6825
286	2741	6810
287	2748	6794
288	2762	6797
289	2769	6780
290	2775	6761
291	2782	6745
292	2787	6725
293	2797	6717
294	2806	6707
295	2822	6712
296	2833	6706
297	2842	6696
298	2849	6679
299	2856	6665
300	2861	6645
301	2868	6630
302	2874	66113303	2893	6624
304	2899	6606
305	2904	6587303	2947	6747
304	2957	6738
305	2966	6727
306	2979	6725
307	2986	6708
308	2995	6699
309	3000	6679
310	3010	6670
311	3019	6659
312	3033	6658
313	3044	6650
314	3051	6635
315	3057	6617
316	3066	6607
3320	3044	64393321	3054	6431319	3103	6594
320	3113	6585
321	3123	6576
322	3129	6559
323	3135	6541
324	3144	6531
325	3156	6526
326	3165	6514
327	3179	6514
328	3185	6496
329	3191	6480
330	3204	6477
331	3213	6465
332	3218	6447
3336	3197	62913337	3206	6280335	3248	6419
3339	3231	6273
340	3237	6255338	3283	6402
339	3300	6406
340	3308	6393
341	3319	6386
342	3333	6384
343	3351	6391
344	3357	6373
345	3368	6366
346	3379	6358
347	3385	6342
348	3391	6325
349	3397	6309
350	3403	6292
351	3410	6277
352	3415	6260
353	3426	6252
354	3441	6252
355	3454	6248
356	3466	6243
357	3479	6239
358	3490	6233
359	3500	6222
360	3507	6207
361	3517	6199
362	3522	6180
363	3531	6170
364	3538	6156
365	3546	6143
366	3556	6134
367	3566	6124
368	3577	6118
369	3582	6100
370	3601	6105
371	3606	6087
372	3621	6086
373	3628	6074
374	3636	6060
375	3640	6042
3379	3606	5883
380	3611	5867
381	3616	5851
382	3621	5834
383	3629	5822381	3684	5960
3385	3645	57983386	3653	57873387	3663	57783388	3673	5769386	3737	5919
387	3746	5908
388	3757	5901
389	3764	5887
3393	3719	57203394	3743	5734
395	3760	5736
396	3772	5729
397	3782	5720
398	3800	5724
399	3811	5716
400	3821	5707
401	3831	5699
402	3842	5691
403	3855	5687
404	3861	5673
405	3886	5685
406	3896	5676
407	3903	5664
408	3911	5651
409	3916	5635
410	3923	5622
411	3934	5615
412	3943	5604
413	3957	5601
414	3972	5599
415	3987	5597
416	3993	5583
417	4002	5572
418	4007	5557
419	4021	5553
420	4027	5538
421	4032	5523
422	4037	5507
423	4047	5498
424	4056	5488
425	4066	5479
426	4079	5474
427	4093	5470
428	4111	5472
429	4117	5457
430	4126	5447
431	4132	5433
432	4137	5418
433	4151	5414
434	4156	5399
435	4171	5396
436	4182	5389
437	4191	5378
438	4207	5376
439	4218	5369
440	4226	5357
441	4234	5346
442	4241	5332
443	4249	5321
444	4255	5307
445	4270	5304
446	4285	5301
447	4296	5294
448	4313	5293
449	4319	5279
450	4325	5265
451	4340	5262
452	4358	5262
453	4370	5255
454	4378	5244
455	4389	5236
456	4395	5223
457	4403	5210
458	4409	5197
459	4418	5186
460	4427	5176
461	4437	5167
462	4451	5163
463	4461	5153
464	4474	5147
465	4481	5135
466	4492	5127
467	4505	5121
468	4517	5114
469	4522	5099
470	4529	5086
471	4535	5073
472	4540	5058
473	4545	5044
474	4558	5038
475	4569	5030
476	4579	5020
477	4588	5010
478	4599	5003
479	4609	4993
480	4619	4983
481	4629	4975
482	4634	4960
483	4640	4946
484	4644	4932
485	4650	4918
486	4662	4911
487	4674	4904
488	4680	4891
489	4686	4877
490	4695	4867
491	4713	4867
492	4720	4854
493	4730	4845
494	4735	48314495	4744	48214496	4755	48124497	4766	4804495	4833	4911
496	4843	4902
497	4849	4888
4501	4812	4773
502	4824	4766
503	4839	4762
504	4850	4754
505	4859	4743
506	4867	4732
507	4874	4721
508	4882	4709
509	4896	4704
510	4904	4693
511	4911	4681
512	4920	4670
513	4927	4658
514	4932	4645
515	4944	4637
516	4960	4634
517	4975	4629
518	4980	4615
519	4985	4602
520	4998	4595
521	5013	4591
522	5024	4582
523	5033	4572
524	5048	4567
525	5062	4562
526	5068	4549
527	5084	4544
528	5093	4534
529	5098	4521
530	5108	4511
531	5115	4500
532	5123	4489
533	5130	4477
534	5142	4469
535	5148	4456
536	5158	4447
537	5172	4441
538	5192	4440
539	5202	4431
540	5222	4430
541	5228	4418
542	5233	4404
543	5242	4394
544	5247	4380
545	5259	4373
546	5269	4364
547	5275	4351
548	5283	4340
549	5288	4327
550	5307	4324
551	5316	4315
552	5322	4302
553	5330	4291
554	5343	4284
555	5355	4276
556	5364	4266
557	5370	4254
558	5377	4242
559	5385	4231
560	5400	4225
561	5414	4219
562	5425	4211
563	5434	4201
564	5439	4188
565	5444	4175
566	5450	4162
567	5456	4150
