iter	Passed	Remaining
0	11	11035
1	40	20414
2	68	22771
3	174	43518
4	210	41809
5	238	39467
6	275	39089
7	325	40324
8	356	39303
9	381	37727
10	430	38701
11	468	38548
12	508	38620
13	549	38726
14	611	40162
15	657	40437
16	674	39007
17	735	40108
18	755	38997
19	784	38457
20	887	41356
21	900	40033
22	922	39197
23	946	38485
24	1007	39307
25	1030	38604
26	1058	38139
27	1089	37826
28	1132	37929
29	1167	37737
30	1205	37683
31	1242	37598
32	1258	36886
33	1301	36978
34	1342	37021
35	1404	37596
36	1433	37303
37	1472	37265
38	1505	37094
39	1534	36823
40	1546	36178
41	1577	35979
42	1632	36337
43	1650	35864
44	1676	35575
45	1699	35256
46	1749	35465
47	1772	35163
48	1802	34986
49	1872	35581
50	1908	35513
51	1934	35263
52	1957	34973
53	1984	34769
54	2016	34640
55	2039	34385
56	2078	34390
57	2115	34359
58	2151	34314
59	2207	34582
60	2246	34583
61	2269	34341
62	2304	34268
63	2330	34077
64	2377	34203
65	2414	34175
66	2448	34092
67	2474	33916
68	2506	33817
69	2561	34033
70	2623	34333
71	2671	34436
72	2705	34356
73	2723	34080
74	2780	34297
75	2835	34473
76	2860	34284
77	2888	34140
78	2958	34489
79	2997	34474
80	3026	34338
81	3078	34459
82	3117	34447
83	3152	34376
84	3185	34293
85	3245	34489
86	3271	34329
87	3314	34352
88	3370	34504
89	3401	34394
90	3440	34363
91	3471	34257
92	3517	34304
93	3538	34108
94	3555	33867
95	3584	33751
96	3640	33893
97	3684	33912
98	3711	33775
99	3742	33681
100	3765	33521
101	3797	33428
102	3886	33849
103	3930	33862
104	3964	33791
105	3980	33571
106	4018	33533
107	4044	33408
108	4099	33510
109	4168	33724
110	4199	33636
111	4248	33682
112	4312	33854
113	4340	33733
114	4374	33663
115	4383	33407
116	4416	33332
117	4468	33397
118	4498	33303
119	4532	33234
120	4577	33256
121	4604	33139
122	4639	33081
123	4712	33291
124	4733	33137
125	4763	33038
126	4784	32888
127	4831	32911
128	4867	32865
129	4878	32649
130	4931	32714
131	4956	32591
132	4985	32499
133	5007	32362
134	5044	32320
135	5075	32242
136	5114	32217
137	5131	32053
138	5190	32152
139	5221	32073
140	5246	31962
141	5265	31817
142	5318	31871
143	5358	31850
144	5427	32006
145	5456	31918
146	5492	31870
147	5522	31790
148	5559	31751
149	5597	31717
150	5637	31696
151	5660	31582
152	5717	31652
153	5733	31498
154	5757	31390
155	5809	31431
156	5860	31468
157	5880	31339
158	6012	31803
159	6050	31766
160	6084	31709
161	6129	31708
162	6175	31712
163	6211	31662
164	6234	31552
165	6260	31455
166	6303	31443
167	6328	31340
168	6362	31286
169	6392	31211
170	6431	31179
171	6458	31093
172	6488	31015
173	6542	31059
174	6574	30993
175	6608	30941
176	6667	31001
177	6701	30945
178	6731	30872
179	6824	31088
180	6847	30985
181	6877	30909
182	6949	31024
183	6973	30925
184	7003	30854
185	7091	31033
186	7119	30954
187	7157	30915
188	7172	30777
189	7211	30741
190	7230	30626
191	7257	30541
192	7295	30505
193	7324	30429
194	7360	30387
195	7398	30347
196	7432	30295
197	7448	30171
198	7471	30074
199	7503	30013
200	7532	29940
201	7551	29832
202	7582	29767
203	7615	29713
204	7642	29639
205	7673	29575
206	7708	29530
207	7735	29452
208	7766	29394
209	7791	29312
210	7830	29279
211	7854	29194
212	7879	29114
213	7912	29061
214	7951	29031
215	7975	28949
216	7992	28839
217	8017	28759
218	8048	28702
219	8067	28602
220	8089	28513
221	8128	28487
222	8165	28451
223	8191	28376
224	8236	28371
225	8261	28292
226	8296	28251
227	8334	28221
228	8359	28143
229	8383	28065
230	8429	28061
231	8452	27980
232	8469	27878
233	8490	27794
234	8541	27805
235	8563	27722
236	8588	27650
237	8624	27611
238	8651	27548
239	8669	27454
240	8708	27425
241	8731	27348
242	8757	27280
243	8786	27222
244	8808	27144
245	8829	27062
246	8847	26971
247	8864	26878
248	8877	26775
249	8894	26683
250	8916	26607
251	8931	26510
252	8946	26415
253	8967	26337
254	8986	26254
255	9011	26188
256	9028	26100
257	9049	26026
258	9072	25955
259	9092	25878
260	9111	25797
261	9132	25724
262	9151	25646
263	9168	25560
264	9186	25480
265	9209	25411
266	9231	25344
267	9251	25268
268	9268	25186
269	9287	25109
270	9312	25050
271	9333	24980
272	9350	24900
273	9371	24829
274	9385	24744
275	9414	24695
276	9438	24636
277	9457	24563
278	9491	24527
279	9543	24539
280	9564	24472
281	9594	24427
282	9624	24384
283	9646	24320
284	9663	24244
285	9681	24168
286	9700	24097
287	9722	24035
288	9760	24011
289	9780	23944
290	9798	23873
291	9814	23796
292	9835	23732
293	9851	23658
294	9871	23590
295	9894	23533
296	9909	23456
297	9931	23394
298	9946	23319
299	9963	23247
300	9981	23178
301	10000	23114
302	10014	23036
303	10031	22966
304	10051	22904
305	10070	22838
306	10087	22770
307	10105	22704
308	10123	22638
309	10140	22570
310	10157	22504
311	10176	22440
312	10191	22369
313	10213	22313
314	10230	22247
315	10248	22183
316	10264	22114
317	10286	22060
318	10306	22001
319	10325	21942
320	10344	21880
321	10364	21822
322	10395	21788
323	10422	21746
324	10439	21681
325	10460	21627
326	10477	21564
327	10497	21506
328	10518	21452
329	10537	21394
330	10561	21346
331	10584	21297
332	10605	21242
333	10624	21186
334	10640	21122
335	10662	21071
336	10679	21009
337	10698	20953
338	10722	20908
339	10743	20854
340	10759	20794
341	10782	20745
342	10799	20685
343	10816	20626
344	10834	20569
345	10855	20518
346	10873	20462
347	10890	20403
348	10913	20357
349	10930	20299
350	10946	20239
351	10968	20191
352	10988	20140
353	11005	20084
354	11021	20024
355	11036	19964
356	11053	19908
357	11071	19854
358	11094	19809
359	11117	19764
360	11137	19714
361	11156	19663
362	11176	19612
363	11201	19571
364	11223	19525
365	11245	19480
366	11269	19437
367	11290	19389
368	11313	19345
369	11334	19299
370	11368	19274
371	11388	19225
372	11404	19171
373	11419	19113
374	11443	19071
375	11463	19024
376	11486	18981
377	11500	18923
378	11521	18877
379	11537	18824
380	11553	18770
381	11574	18724
382	11599	18686
383	11617	18636
384	11633	18583
385	11653	18536
386	11672	18489
387	11692	18442
388	11708	18389
389	11729	18346
390	11749	18300
391	11771	18257
392	11795	18217
393	11812	18169
394	11830	18119
395	11844	18065
396	11860	18014
397	11876	17963
398	11889	17908
399	11913	17870
400	11934	17827
401	11954	17783
402	11970	17732
403	11989	17686
404	12005	17637
405	12027	17596
406	12045	17549
407	12065	17506
408	12085	17463
409	12102	17415
410	12120	17370
411	12135	17319
412	12152	17271
413	12169	17224
414	12184	17176
415	12212	17144
416	12231	17100
417	12249	17055
418	12268	17012
419	12287	16968
420	12321	16946
421	12344	16907
422	12366	16868
423	12384	16824
424	12402	16779
425	12418	16732
426	12436	16688
427	12453	16644
428	12472	16600
429	12493	16561
430	12514	16521
431	12535	16481
432	12557	16443
433	12578	16403
434	12597	16362
435	12611	16314
436	12625	16265
437	12646	16226
438	12661	16180
439	12677	16134
440	12696	16093
441	12712	16048
442	12732	16009
443	12747	15962
444	12761	15915
445	12780	15875
446	12799	15835
447	12812	15787
448	12842	15759
449	12862	15721
450	12878	15677
451	12895	15633
452	12916	15597
453	12933	15554
454	12949	15510
455	12965	15467
456	12986	15430
457	13003	15387
458	13026	15353
459	13047	15316
460	13065	15275
461	13085	15238
462	13103	15197
463	13119	15155
464	13137	15115
465	13153	15073
466	13169	15030
467	13189	14993
468	13208	14955
469	13224	14913
470	13245	14877
471	13264	14838
472	13290	14807
473	13323	14784
474	13342	14746
475	13360	14708
476	13380	14670
477	13399	14632
478	13416	14593
479	13436	14555
480	13450	14513
481	13466	14472
482	13484	14433
483	13505	14398
484	13521	14358
485	13543	14323
486	13560	14284
487	13577	14245
488	13594	14206
489	13609	14164
490	13625	14124
491	13645	14089
492	13666	14054
493	13685	14018
494	13700	13977
495	13720	13942
496	13742	13908
