<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	118.583	118.672	118.565	118.666	55	0	77
2020.04.01	00:15:00	118.666	118.672	118.604	118.672	35	0	93
2020.04.01	00:30:00	118.672	118.700	118.625	118.625	94	0	88
2020.04.01	00:45:00	118.625	118.642	118.526	118.584	40	0	94
2020.04.01	01:00:00	118.584	118.687	118.582	118.632	874	0	8
2020.04.01	01:15:00	118.633	118.640	118.561	118.576	908	0	10
2020.04.01	01:30:00	118.576	118.729	118.576	118.682	1455	0	3
2020.04.01	01:45:00	118.682	118.788	118.657	118.788	1246	0	3
2020.04.01	02:00:00	118.785	118.787	118.706	118.716	1206	0	2
2020.04.01	02:15:00	118.716	118.735	118.540	118.540	889	0	2
2020.04.01	02:30:00	118.540	118.611	118.529	118.585	1281	0	2
2020.04.01	02:45:00	118.585	118.635	118.513	118.542	970	0	3
2020.04.01	03:00:00	118.542	118.545	118.289	118.342	2369	0	2
2020.04.01	03:15:00	118.341	118.411	118.317	118.349	1921	0	2
2020.04.01	03:30:00	118.349	118.460	118.333	118.408	1923	0	2
2020.04.01	03:45:00	118.409	118.660	118.376	118.579	2521	0	2
2020.04.01	04:00:00	118.579	118.593	118.499	118.537	1590	0	2
2020.04.01	04:15:00	118.537	118.654	118.499	118.616	1943	0	2
2020.04.01	04:30:00	118.616	118.673	118.549	118.581	1926	0	2
2020.04.01	04:45:00	118.581	118.654	118.544	118.651	1700	0	2
2020.04.01	05:00:00	118.651	118.849	118.598	118.807	2057	0	2
2020.04.01	05:15:00	118.807	118.839	118.683	118.712	1460	0	2
2020.04.01	05:30:00	118.715	118.769	118.616	118.689	1687	0	2
2020.04.01	05:45:00	118.689	118.802	118.664	118.729	1442	0	2
2020.04.01	06:00:00	118.729	118.772	118.635	118.765	1494	0	2
2020.04.01	06:15:00	118.765	118.773	118.718	118.731	1241	0	2
2020.04.01	06:30:00	118.731	118.809	118.688	118.784	1359	0	2
2020.04.01	06:45:00	118.782	118.821	118.752	118.781	1054	0	2
2020.04.01	07:00:00	118.781	118.871	118.774	118.851	1051	0	2
2020.04.01	07:15:00	118.851	118.872	118.762	118.762	839	0	2
2020.04.01	07:30:00	118.762	118.794	118.723	118.746	835	0	2
2020.04.01	07:45:00	118.746	118.771	118.702	118.716	1090	0	2
2020.04.01	08:00:00	118.716	118.796	118.710	118.716	1249	0	2
2020.04.01	08:15:00	118.718	118.766	118.606	118.651	1107	0	2
2020.04.01	08:30:00	118.651	118.659	118.489	118.506	2123	0	2
2020.04.01	08:45:00	118.506	118.513	118.347	118.384	2290	0	2
2020.04.01	09:00:00	118.384	118.406	118.248	118.276	2198	0	2
2020.04.01	09:15:00	118.276	118.294	118.127	118.229	2641	0	2
2020.04.01	09:30:00	118.233	118.247	118.116	118.196	2760	0	2
2020.04.01	09:45:00	118.194	118.203	118.085	118.143	2426	0	2
2020.04.01	10:00:00	118.145	118.281	118.091	118.202	3052	0	2
2020.04.01	10:15:00	118.202	118.207	117.987	118.004	2317	0	2
2020.04.01	10:30:00	118.004	118.086	117.951	117.987	2120	0	2
2020.04.01	10:45:00	117.987	118.111	117.971	117.979	2576	0	2
2020.04.01	11:00:00	117.975	118.057	117.886	117.963	2584	0	2
2020.04.01	11:15:00	117.963	117.972	117.756	117.824	2481	0	2
2020.04.01	11:30:00	117.824	117.847	117.716	117.840	2426	0	2
2020.04.01	11:45:00	117.840	117.937	117.746	117.754	2236	0	2
2020.04.01	12:00:00	117.754	117.771	117.555	117.594	2366	0	2
2020.04.01	12:15:00	117.594	117.692	117.472	117.526	2189	0	2
2020.04.01	12:30:00	117.526	117.636	117.467	117.619	2238	0	2
2020.04.01	12:45:00	117.619	117.701	117.606	117.648	1396	0	2
2020.04.01	13:00:00	117.648	117.696	117.586	117.597	1356	0	2
2020.04.01	13:15:00	117.597	117.687	117.587	117.674	1563	0	2
2020.04.01	13:30:00	117.674	117.695	117.556	117.575	1540	0	2
2020.04.01	13:45:00	117.575	117.738	117.562	117.711	1946	0	2
2020.04.01	14:00:00	117.713	117.758	117.633	117.676	1493	0	2
2020.04.01	14:15:00	117.676	117.761	117.631	117.741	1414	0	2
2020.04.01	14:30:00	117.741	117.741	117.631	117.646	1453	0	2
2020.04.01	14:45:00	117.646	117.659	117.541	117.638	1467	0	2
2020.04.01	15:00:00	117.637	117.670	117.521	117.532	1743	0	2
2020.04.01	15:15:00	117.533	117.654	117.477	117.481	2255	0	2
2020.04.01	15:30:00	117.484	117.494	117.302	117.334	2233	0	2
2020.04.01	15:45:00	117.334	117.394	117.291	117.373	1961	0	2
2020.04.01	16:00:00	117.375	117.423	117.282	117.313	2114	0	2
2020.04.01	16:15:00	117.313	117.328	117.220	117.255	2207	0	2
2020.04.01	16:30:00	117.255	117.302	117.179	117.204	2811	0	2
2020.04.01	16:45:00	117.205	117.215	117.116	117.181	2279	0	2
