<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	1.10286	1.10348	1.10247	1.10342	92	0	25
2020.04.01	00:15:00	1.10342	1.10361	1.10322	1.10360	51	0	7
2020.04.01	00:30:00	1.10360	1.10388	1.10338	1.10346	147	0	5
2020.04.01	00:45:00	1.10346	1.10359	1.10266	1.10279	61	0	7
2020.04.01	01:00:00	1.10279	1.10368	1.10279	1.10302	522	0	1
2020.04.01	01:15:00	1.10302	1.10315	1.10255	1.10267	422	0	2
2020.04.01	01:30:00	1.10267	1.10295	1.10233	1.10292	735	0	1
2020.04.01	01:45:00	1.10292	1.10311	1.10224	1.10230	696	0	1
2020.04.01	02:00:00	1.10230	1.10302	1.10228	1.10276	669	0	1
2020.04.01	02:15:00	1.10276	1.10374	1.10265	1.10359	613	0	1
2020.04.01	02:30:00	1.10359	1.10375	1.10313	1.10318	505	0	1
2020.04.01	02:45:00	1.10318	1.10319	1.10254	1.10258	548	0	1
2020.04.01	03:00:00	1.10260	1.10314	1.10223	1.10238	1113	0	1
2020.04.01	03:15:00	1.10239	1.10330	1.10236	1.10314	816	0	1
2020.04.01	03:30:00	1.10314	1.10333	1.10248	1.10293	926	0	1
2020.04.01	03:45:00	1.10293	1.10361	1.10282	1.10315	1061	0	1
2020.04.01	04:00:00	1.10315	1.10329	1.10250	1.10266	925	0	1
2020.04.01	04:15:00	1.10266	1.10290	1.10207	1.10234	1076	0	1
2020.04.01	04:30:00	1.10234	1.10238	1.10105	1.10106	1144	0	1
2020.04.01	04:45:00	1.10106	1.10176	1.10092	1.10155	1038	0	1
2020.04.01	05:00:00	1.10154	1.10158	1.10058	1.10146	1094	0	1
2020.04.01	05:15:00	1.10146	1.10187	1.10132	1.10133	852	0	1
2020.04.01	05:30:00	1.10133	1.10147	1.10087	1.10120	785	0	1
2020.04.01	05:45:00	1.10120	1.10285	1.10119	1.10246	659	0	1
2020.04.01	06:00:00	1.10246	1.10312	1.10217	1.10291	891	0	1
2020.04.01	06:15:00	1.10291	1.10304	1.10226	1.10236	769	0	1
2020.04.01	06:30:00	1.10237	1.10254	1.10160	1.10203	639	0	1
2020.04.01	06:45:00	1.10203	1.10231	1.10171	1.10195	504	0	1
2020.04.01	07:00:00	1.10195	1.10287	1.10190	1.10270	593	0	1
2020.04.01	07:15:00	1.10270	1.10292	1.10207	1.10233	468	0	2
2020.04.01	07:30:00	1.10231	1.10242	1.10199	1.10237	441	0	1
2020.04.01	07:45:00	1.10237	1.10253	1.10153	1.10166	645	0	1
2020.04.01	08:00:00	1.10166	1.10267	1.10155	1.10212	787	0	1
2020.04.01	08:15:00	1.10212	1.10265	1.10195	1.10257	691	0	1
2020.04.01	08:30:00	1.10257	1.10333	1.10244	1.10250	1015	0	1
2020.04.01	08:45:00	1.10250	1.10291	1.10182	1.10244	1247	0	1
2020.04.01	09:00:00	1.10243	1.10267	1.10144	1.10159	1511	0	1
2020.04.01	09:15:00	1.10157	1.10158	1.09981	1.10000	2003	0	1
2020.04.01	09:30:00	1.10000	1.10052	1.09871	1.09912	2130	0	1
2020.04.01	09:45:00	1.09908	1.09940	1.09814	1.09831	1746	0	1
2020.04.01	10:00:00	1.09829	1.09920	1.09746	1.09843	2414	0	1
2020.04.01	10:15:00	1.09843	1.09864	1.09712	1.09729	2212	0	1
2020.04.01	10:30:00	1.09729	1.09833	1.09696	1.09775	1886	0	1
2020.04.01	10:45:00	1.09776	1.09806	1.09582	1.09600	2273	0	1
2020.04.01	11:00:00	1.09598	1.09678	1.09556	1.09558	2075	0	1
2020.04.01	11:15:00	1.09558	1.09577	1.09311	1.09347	2133	0	1
2020.04.01	11:30:00	1.09347	1.09503	1.09346	1.09502	1877	0	1
2020.04.01	11:45:00	1.09502	1.09585	1.09485	1.09568	1566	0	1
2020.04.01	12:00:00	1.09568	1.09593	1.09278	1.09321	2016	0	1
2020.04.01	12:15:00	1.09322	1.09355	1.09165	1.09285	2274	0	1
2020.04.01	12:30:00	1.09285	1.09362	1.09239	1.09278	2088	0	1
2020.04.01	12:45:00	1.09278	1.09368	1.09278	1.09333	1309	0	1
2020.04.01	13:00:00	1.09333	1.09368	1.09308	1.09352	1042	0	1
2020.04.01	13:15:00	1.09353	1.09419	1.09319	1.09395	1329	0	1
2020.04.01	13:30:00	1.09395	1.09435	1.09348	1.09390	1377	0	1
2020.04.01	13:45:00	1.09390	1.09464	1.09371	1.09429	1471	0	1
2020.04.01	14:00:00	1.09429	1.09472	1.09341	1.09434	1520	0	1
2020.04.01	14:15:00	1.09434	1.09489	1.09387	1.09437	1154	0	1
2020.04.01	14:30:00	1.09437	1.09438	1.09343	1.09361	1337	0	1
2020.04.01	14:45:00	1.09362	1.09414	1.09270	1.09410	1665	0	1
2020.04.01	15:00:00	1.09409	1.09425	1.09280	1.09360	1945	0	1
2020.04.01	15:15:00	1.09361	1.09385	1.09231	1.09244	2001	0	1
2020.04.01	15:30:00	1.09246	1.09296	1.09208	1.09273	1446	0	1
2020.04.01	15:45:00	1.09273	1.09371	1.09240	1.09300	1535	0	1
2020.04.01	16:00:00	1.09298	1.09319	1.09205	1.09273	1653	0	1
2020.04.01	16:15:00	1.09273	1.09338	1.09214	1.09304	1810	0	1
2020.04.01	16:30:00	1.09304	1.09332	1.09213	1.09285	1963	0	1
2020.04.01	16:45:00	1.09285	1.09334	1.09248	1.09302	1701	0	1
2020.04.01	17:00:00	1.09291	1.09418	1.09246	1.09358	1937	0	1
2020.04.01	17:15:00	1.09358	1.09362	1.09217	1.09239	1603	0	1
2020.04.01	17:30:00	1.09238	1.09310	1.09184	1.09211	1390	0	1
2020.04.01	17:45:00	1.09211	1.09340	1.09187	1.09210	3175	0	1
2020.04.01	18:00:00	1.09210	1.09323	1.09166	1.09266	2192	0	1
2020.04.01	18:15:00	1.09266	1.09417	1.09258	1.09394	1752	0	1
2020.04.01	18:30:00	1.09393	1.09423	1.09335	1.09341	1220	0	1
2020.04.01	18:45:00	1.09341	1.09364	1.09299	1.09329	1167	0	1
2020.04.01	19:00:00	1.09329	1.09378	1.09319	1.09346	908	0	1
2020.04.01	19:15:00	1.09347	1.09347	1.09223	1.09261	980	0	1
2020.04.01	19:30:00	1.09262	1.09292	1.09234	1.09288	1178	0	1
2020.04.01	19:45:00	1.09288	1.09310	1.09224	1.09253	1064	0	1
2020.04.01	20:00:00	1.09253	1.09253	1.09154	1.09212	1025	0	1
2020.04.01	20:15:00	1.09212	1.09254	1.09051	1.09120	1066	0	1
2020.04.01	20:30:00	1.09120	1.09139	1.09068	1.09124	810	0	1
2020.04.01	20:45:00	1.09124	1.09227	1.09028	1.09194	1668	0	1
2020.04.01	21:00:00	1.09195	1.09397	1.09194	1.09244	1601	0	1
2020.04.01	21:15:00	1.09245	1.09282	1.09191	1.09203	681	0	1
2020.04.01	21:30:00	1.09203	1.09337	1.09192	1.09310	685	0	1
2020.04.01	21:45:00	1.09309	1.09358	1.09284	1.09295	937	0	1
2020.04.01	22:00:00	1.09294	1.09390	1.09286	1.09381	880	0	1
2020.04.01	22:15:00	1.09381	1.09526	1.09330	1.09449	1078	0	1
2020.04.01	22:30:00	1.09449	1.09579	1.09445	1.09572	1122	0	1
2020.04.01	22:45:00	1.09572	1.09575	1.09448	1.09477	1956	0	1
2020.04.01	23:00:00	1.09477	1.09638	1.09466	1.09608	998	0	1
2020.04.01	23:15:00	1.09608	1.09697	1.09558	1.09598	782	0	1
2020.04.01	23:30:00	1.09599	1.09698	1.09585	1.09615	988	0	1
2020.04.01	23:45:00	1.09615	1.09684	1.09591	1.09607	849	0	1
2020.04.02	00:00:00	1.09614	1.09681	1.09610	1.09668	102	0	5
2020.04.02	00:15:00	1.09667	1.09674	1.09537	1.09543	130	0	16
2020.04.02	00:30:00	1.09543	1.09557	1.09445	1.09465	209	0	10
2020.04.02	00:45:00	1.09462	1.09522	1.09389	1.09476	135	0	10
2020.04.02	01:00:00	1.09476	1.09581	1.09418	1.09574	767	0	2
2020.04.02	01:15:00	1.09574	1.09593	1.09560	1.09580	512	0	6
