<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	140.664	141.044	140.663	140.939	265	0	58
2021.01.04	01:00:00	140.957	141.308	140.944	141.244	3548	0	6
2021.01.04	02:00:00	141.244	141.277	140.779	140.912	7437	0	6
2021.01.04	03:00:00	140.912	141.099	140.901	141.001	5737	0	6
2021.01.04	04:00:00	141.001	141.084	140.957	141.005	4043	0	6
2021.01.04	05:00:00	141.005	141.045	140.964	140.989	2675	0	6
2021.01.04	06:00:00	140.989	141.044	140.888	140.903	2556	0	6
2021.01.04	07:00:00	140.903	140.962	140.851	140.942	3516	0	6
2021.01.04	08:00:00	140.943	141.013	140.872	140.944	3524	0	6
2021.01.04	09:00:00	140.941	141.065	140.752	140.858	5611	0	6
2021.01.04	10:00:00	140.861	140.923	140.580	140.744	7780	0	6
2021.01.04	11:00:00	140.744	140.787	140.416	140.483	7058	0	6
2021.01.04	12:00:00	140.478	140.780	140.464	140.760	5978	0	6
2021.01.04	13:00:00	140.760	140.862	140.568	140.601	6420	0	6
2021.01.04	14:00:00	140.601	140.623	140.415	140.511	7098	0	6
2021.01.04	15:00:00	140.512	140.588	140.203	140.381	8585	0	6
2021.01.04	16:00:00	140.379	140.439	140.190	140.229	9236	0	6
2021.01.04	17:00:00	140.229	140.233	139.918	140.022	10352	0	6
2021.01.04	18:00:00	140.023	140.183	139.800	139.818	8973	0	6
2021.01.04	19:00:00	139.816	140.007	139.689	139.968	7524	0	6
2021.01.04	20:00:00	139.966	139.974	139.792	139.876	5041	0	6
2021.01.04	21:00:00	139.878	139.924	139.799	139.880	4793	0	6
2021.01.04	22:00:00	139.879	139.951	139.767	139.944	4573	0	6
2021.01.04	23:00:00	139.944	140.074	139.838	139.937	3341	0	6
2021.01.05	00:00:00	139.926	139.974	139.747	139.958	399	0	44
2021.01.05	01:00:00	139.958	140.032	139.885	139.958	2544	0	6
2021.01.05	02:00:00	139.958	140.021	139.896	139.943	4015	0	6
2021.01.05	03:00:00	139.943	140.033	139.901	139.934	4510	0	6
2021.01.05	04:00:00	139.936	140.127	139.928	140.084	3915	0	6
2021.01.05	05:00:00	140.084	140.149	139.936	139.973	4451	0	6
2021.01.05	06:00:00	139.973	140.010	139.889	139.932	4443	0	6
2021.01.05	07:00:00	139.932	140.019	139.928	139.985	4051	0	6
2021.01.05	08:00:00	139.986	140.062	139.896	140.032	4139	0	6
2021.01.05	09:00:00	140.037	140.052	139.624	139.697	6703	0	6
2021.01.05	10:00:00	139.695	139.893	139.524	139.536	8509	0	6
2021.01.05	11:00:00	139.538	139.742	139.511	139.573	6292	0	6
2021.01.05	12:00:00	139.572	139.809	139.565	139.758	5643	0	6
2021.01.05	13:00:00	139.758	139.907	139.727	139.727	6518	0	6
2021.01.05	14:00:00	139.727	139.792	139.634	139.771	7367	0	6
2021.01.05	15:00:00	139.767	139.827	139.535	139.625	7557	0	6
2021.01.05	16:00:00	139.625	139.866	139.598	139.810	8188	0	6
2021.01.05	17:00:00	139.812	139.973	139.640	139.720	10167	0	6
2021.01.05	18:00:00	139.721	139.957	139.718	139.856	8046	0	6
2021.01.05	19:00:00	139.856	140.007	139.856	139.942	6501	0	6
2021.01.05	20:00:00	139.942	139.947	139.767	139.887	4648	0	6
2021.01.05	21:00:00	139.887	139.958	139.850	139.878	3793	0	6
2021.01.05	22:00:00	139.878	139.965	139.875	139.931	3409	0	6
2021.01.05	23:00:00	139.933	139.988	139.908	139.910	1940	0	6
2021.01.06	00:00:00	139.909	139.954	139.753	139.895	480	0	40
2021.01.06	01:00:00	139.895	139.947	139.827	139.927	2147	0	6
2021.01.06	02:00:00	139.927	140.029	139.839	139.976	5605	0	6
2021.01.06	03:00:00	139.976	140.013	139.812	139.834	8530	0	6
2021.01.06	04:00:00	139.838	139.908	139.788	139.799	6481	0	6
2021.01.06	05:00:00	139.801	139.907	139.790	139.825	5894	0	6
2021.01.06	06:00:00	139.825	139.958	139.799	139.925	5898	0	6
2021.01.06	07:00:00	139.925	139.997	139.840	139.949	4435	0	6
2021.01.06	08:00:00	139.949	140.039	139.872	140.004	4423	0	6
2021.01.06	09:00:00	139.998	140.336	139.986	140.322	8238	0	6
2021.01.06	10:00:00	140.322	140.378	140.053	140.093	8970	0	6
2021.01.06	11:00:00	140.093	140.355	140.036	140.347	7708	0	6
2021.01.06	12:00:00	140.347	140.575	140.342	140.431	6449	0	6
2021.01.06	13:00:00	140.431	140.514	140.295	140.302	6203	0	6
2021.01.06	14:00:00	140.298	140.320	140.028	140.141	8233	0	6
2021.01.06	15:00:00	140.142	140.259	139.952	139.952	9938	0	6
2021.01.06	16:00:00	139.945	140.189	139.771	140.137	12541	0	6
2021.01.06	17:00:00	140.128	140.370	140.051	140.089	11050	0	6
2021.01.06	18:00:00	140.088	140.383	140.004	140.335	8910	0	6
2021.01.06	19:00:00	140.335	140.478	140.331	140.410	5873	0	6
2021.01.06	20:00:00	140.410	140.518	140.383	140.452	4733	0	6
2021.01.06	21:00:00	140.455	140.524	140.217	140.245	8438	0	6
2021.01.06	22:00:00	140.249	140.353	140.162	140.220	8339	0	6
2021.01.06	23:00:00	140.220	140.298	140.164	140.208	3402	0	6
2021.01.07	00:00:00	140.201	140.314	140.111	140.239	826	0	22
2021.01.07	01:00:00	140.239	140.418	140.228	140.353	3726	0	6
2021.01.07	02:00:00	140.353	140.472	140.195	140.386	4803	0	6
