<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	133.446	133.773	133.259	133.654	171	0	60
2020.04.01	00:15:00	133.654	133.715	133.609	133.630	443	0	124
2020.04.01	00:30:00	133.626	133.643	133.555	133.565	627	0	95
2020.04.01	00:45:00	133.567	133.599	133.515	133.543	590	0	195
2020.04.01	01:00:00	133.543	133.572	133.433	133.461	744	0	14
2020.04.01	01:15:00	133.454	133.459	133.400	133.430	301	0	19
2020.04.01	01:30:00	133.430	133.567	133.365	133.542	779	0	21
2020.04.01	01:45:00	133.542	133.593	133.468	133.569	1294	0	19
2020.04.01	02:00:00	133.569	133.618	133.520	133.590	1428	0	10
2020.04.01	02:15:00	133.590	133.606	133.326	133.326	1247	0	7
2020.04.01	02:30:00	133.326	133.442	133.314	133.442	1574	0	9
2020.04.01	02:45:00	133.442	133.524	133.341	133.370	1205	0	9
2020.04.01	03:00:00	133.368	133.393	133.204	133.297	2820	0	12
2020.04.01	03:15:00	133.296	133.401	133.213	133.277	2432	0	7
2020.04.01	03:30:00	133.276	133.406	133.205	133.322	2150	0	7
2020.04.01	03:45:00	133.322	133.587	133.251	133.452	2526	0	6
2020.04.01	04:00:00	133.452	133.502	133.360	133.496	1675	0	7
2020.04.01	04:15:00	133.483	133.529	133.353	133.502	1979	0	6
2020.04.01	04:30:00	133.497	133.582	133.396	133.461	2116	0	14
2020.04.01	04:45:00	133.461	133.521	133.247	133.352	2023	0	6
2020.04.01	05:00:00	133.352	133.473	133.214	133.420	2373	0	6
2020.04.01	05:15:00	133.421	133.580	133.353	133.386	1917	0	14
2020.04.01	05:30:00	133.386	133.472	133.311	133.378	1802	0	8
2020.04.01	05:45:00	133.378	133.567	133.301	133.452	1454	0	6
2020.04.01	06:00:00	133.452	133.482	133.355	133.469	1822	0	7
2020.04.01	06:15:00	133.469	133.492	133.275	133.474	1510	0	9
2020.04.01	06:30:00	133.474	133.535	133.342	133.509	1638	0	6
2020.04.01	06:45:00	133.511	133.518	133.413	133.420	1090	0	9
2020.04.01	07:00:00	133.419	133.507	133.404	133.463	771	0	14
2020.04.01	07:15:00	133.463	133.503	133.407	133.408	1269	0	12
2020.04.01	07:30:00	133.408	133.475	133.361	133.390	1145	0	7
2020.04.01	07:45:00	133.390	133.416	133.346	133.366	1281	0	9
2020.04.01	08:00:00	133.366	133.439	133.269	133.295	1179	0	8
2020.04.01	08:15:00	133.295	133.396	133.228	133.309	1373	0	9
2020.04.01	08:30:00	133.308	133.322	133.038	133.055	2687	0	9
2020.04.01	08:45:00	133.055	133.108	132.874	132.975	3088	0	6
2020.04.01	09:00:00	132.974	132.974	132.729	132.858	3108	0	6
2020.04.01	09:15:00	132.858	132.906	132.627	132.849	3552	0	7
2020.04.01	09:30:00	132.852	132.883	132.645	132.710	2761	0	9
2020.04.01	09:45:00	132.710	132.840	132.564	132.774	2671	0	6
2020.04.01	10:00:00	132.765	132.976	132.719	132.916	4305	0	6
2020.04.01	10:15:00	132.916	132.919	132.635	132.645	3656	0	6
2020.04.01	10:30:00	132.645	132.938	132.610	132.802	3435	0	6
2020.04.01	10:45:00	132.803	133.084	132.803	132.990	3574	0	6
2020.04.01	11:00:00	132.991	133.092	132.930	133.070	2978	0	6
2020.04.01	11:15:00	133.069	133.197	132.896	133.010	2930	0	6
2020.04.01	11:30:00	133.011	133.029	132.805	132.989	2887	0	7
2020.04.01	11:45:00	132.987	133.095	132.913	132.948	2501	0	7
2020.04.01	12:00:00	132.948	133.004	132.747	132.960	3316	0	6
2020.04.01	12:15:00	132.957	133.009	132.848	132.875	3058	0	7
2020.04.01	12:30:00	132.876	133.100	132.876	133.074	2829	0	6
2020.04.01	12:45:00	133.074	133.105	132.968	133.000	2241	0	8
2020.04.01	13:00:00	133.000	133.089	132.933	132.948	1775	0	6
2020.04.01	13:15:00	132.948	133.157	132.945	133.099	2070	0	6
2020.04.01	13:30:00	133.099	133.135	132.987	133.070	2423	0	6
2020.04.01	13:45:00	133.071	133.239	133.005	133.152	2231	0	6
2020.04.01	14:00:00	133.150	133.331	133.108	133.268	2394	0	6
2020.04.01	14:15:00	133.268	133.334	133.172	133.249	2039	0	7
2020.04.01	14:30:00	133.249	133.327	133.172	133.201	2065	0	8
2020.04.01	14:45:00	133.201	133.233	133.043	133.136	1888	0	6
2020.04.01	15:00:00	133.135	133.153	132.868	132.873	2540	0	6
2020.04.01	15:15:00	132.874	133.091	132.816	132.994	3089	0	8
2020.04.01	15:30:00	132.994	133.089	132.937	133.010	2805	0	6
2020.04.01	15:45:00	133.010	133.043	132.910	132.990	2447	0	6
2020.04.01	16:00:00	132.990	133.178	132.956	133.178	2231	0	6
2020.04.01	16:15:00	133.178	133.185	132.964	132.999	2451	0	6
2020.04.01	16:30:00	132.999	133.361	132.930	133.235	3297	0	6
2020.04.01	16:45:00	133.235	133.235	133.088	133.205	2997	0	6
2020.04.01	17:00:00	133.204	133.224	132.953	133.201	3977	0	6
2020.04.01	17:15:00	133.200	133.221	133.010	133.144	2874	0	6
2020.04.01	17:30:00	133.148	133.245	133.025	133.089	2964	0	6
2020.04.01	17:45:00	133.086	133.474	133.031	133.080	4342	0	6
2020.04.01	18:00:00	133.083	133.124	132.801	132.918	3299	0	6
2020.04.01	18:15:00	132.918	132.971	132.839	132.883	3080	0	6
2020.04.01	18:30:00	132.886	132.911	132.779	132.809	2488	0	6
2020.04.01	18:45:00	132.808	132.818	132.617	132.647	2379	0	6
2020.04.01	19:00:00	132.647	132.726	132.589	132.697	1968	0	6
2020.04.01	19:15:00	132.697	132.790	132.584	132.790	1879	0	7
2020.04.01	19:30:00	132.790	132.959	132.762	132.868	1965	0	6
2020.04.01	19:45:00	132.868	132.923	132.671	132.723	2545	0	6
2020.04.01	20:00:00	132.723	132.864	132.714	132.754	1871	0	6
2020.04.01	20:15:00	132.753	132.848	132.708	132.811	2577	0	6
2020.04.01	20:30:00	132.812	132.813	132.736	132.775	1813	0	6
2020.04.01	20:45:00	132.775	132.973	132.761	132.964	2207	0	6
2020.04.01	21:00:00	132.963	133.077	132.840	132.843	2203	0	6
2020.04.01	21:15:00	132.840	132.962	132.820	132.855	1537	0	6
2020.04.01	21:30:00	132.855	132.862	132.718	132.748	1416	0	7
2020.04.01	21:45:00	132.748	132.763	132.595	132.621	1961	0	7
2020.04.01	22:00:00	132.621	132.750	132.561	132.568	2344	0	6
2020.04.01	22:15:00	132.568	132.661	132.500	132.503	2106	0	6
2020.04.01	22:30:00	132.510	132.629	132.483	132.565	2437	0	6
2020.04.01	22:45:00	132.565	132.809	132.556	132.787	3399	0	6
2020.04.01	23:00:00	132.787	132.823	132.703	132.711	1538	0	9
2020.04.01	23:15:00	132.710	132.809	132.707	132.732	1364	0	6
2020.04.01	23:30:00	132.733	132.836	132.632	132.674	1921	0	6
2020.04.01	23:45:00	132.674	132.713	132.499	132.578	2086	0	6
2020.04.02	00:00:00	132.593	132.835	132.503	132.787	221	0	19
2020.04.02	00:15:00	132.784	132.819	132.421	132.663	434	0	10
2020.04.02	00:30:00	132.663	132.697	132.560	132.560	47	0	76
2020.04.02	00:45:00	132.560	132.699	132.560	132.684	58	0	110
2020.04.02	01:00:00	132.684	132.862	132.648	132.826	543	0	32
2020.04.02	01:15:00	132.826	132.842	132.716	132.717	674	0	35
2020.04.02	01:30:00	132.717	132.829	132.656	132.787	571	0	21
2020.04.02	01:45:00	132.790	132.937	132.784	132.880	647	0	14
2020.04.02	02:00:00	132.880	132.909	132.718	132.768	869	0	9
2020.04.02	02:15:00	132.768	132.840	132.738	132.805	663	0	18
2020.04.02	02:30:00	132.805	132.853	132.715	132.757	624	0	13
2020.04.02	02:45:00	132.757	132.845	132.746	132.820	706	0	13
2020.04.02	03:00:00	132.820	132.863	132.692	132.733	2333	0	6
2020.04.02	03:15:00	132.733	132.808	132.700	132.772	1970	0	6
2020.04.02	03:30:00	132.771	132.849	132.670	132.757	2034	0	6
2020.04.02	03:45:00	132.757	133.270	132.751	133.077	2814	0	6
2020.04.02	04:00:00	133.077	133.175	132.997	133.102	2301	0	6
2020.04.02	04:15:00	133.102	133.227	133.033	133.126	2410	0	10
2020.04.02	04:30:00	133.126	133.239	133.039	133.177	2752	0	9
2020.04.02	04:45:00	133.177	133.268	133.101	133.156	1591	0	9
2020.04.02	05:00:00	133.156	133.250	133.137	133.171	1721	0	10
2020.04.02	05:15:00	133.169	133.181	133.031	133.036	1410	0	14
2020.04.02	05:30:00	133.036	133.157	133.033	133.116	1334	0	12
2020.04.02	05:45:00	133.116	133.161	133.095	133.110	1180	0	8
2020.04.02	06:00:00	133.109	133.111	132.995	133.031	1472	0	11
2020.04.02	06:15:00	133.031	133.110	133.011	133.055	1225	0	9
2020.04.02	06:30:00	133.055	133.111	133.049	133.080	982	0	6
2020.04.02	06:45:00	133.080	133.121	133.031	133.040	1189	0	10
2020.04.02	07:00:00	133.040	133.076	133.027	133.056	730	0	11
2020.04.02	07:15:00	133.056	133.135	133.035	133.095	1097	0	6
2020.04.02	07:30:00	133.095	133.144	133.078	133.112	978	0	6
2020.04.02	07:45:00	133.112	133.209	133.090	133.160	1033	0	6
2020.04.02	08:00:00	133.160	133.163	133.021	133.024	1658	0	6
2020.04.02	08:15:00	133.025	133.143	133.016	133.040	1700	0	10
2020.04.02	08:30:00	133.040	133.142	133.032	133.109	2052	0	8
2020.04.02	08:45:00	133.109	133.169	133.043	133.123	2060	0	6
2020.04.02	09:00:00	133.124	133.299	133.116	133.273	2514	0	6
2020.04.02	09:15:00	133.273	133.274	133.116	133.225	2034	0	8
2020.04.02	09:30:00	133.224	133.232	133.081	133.126	2506	0	6
2020.04.02	09:45:00	133.127	133.204	133.036	133.092	2251	0	6
2020.04.02	10:00:00	133.095	133.258	133.042	133.054	3234	0	8
2020.04.02	10:15:00	133.054	133.128	132.978	133.091	2545	0	6
2020.04.02	10:30:00	133.091	133.196	133.003	133.192	2037	0	7
2020.04.02	10:45:00	133.193	133.205	133.017	133.105	1899	0	6
2020.04.02	11:00:00	133.105	133.188	133.044	133.130	2236	0	6
2020.04.02	11:15:00	133.130	133.184	132.983	132.983	2006	0	7
2020.04.02	11:30:00	132.983	133.246	132.973	133.227	2197	0	6
2020.04.02	11:45:00	133.226	133.320	133.164	133.317	2317	0	7
2020.04.02	12:00:00	133.316	133.322	133.178	133.260	2324	0	7
2020.04.02	12:15:00	133.260	133.440	133.247	133.370	2498	0	7
2020.04.02	12:30:00	133.370	133.510	133.312	133.467	1848	0	6
2020.04.02	12:45:00	133.467	133.721	133.449	133.709	2220	0	6
2020.04.02	13:00:00	133.709	133.728	133.576	133.679	2134	0	6
2020.04.02	13:15:00	133.679	133.879	133.627	133.834	2040	0	6
2020.04.02	13:30:00	133.834	133.886	133.606	133.695	2154	0	6
2020.04.02	13:45:00	133.695	133.804	133.658	133.707	2004	0	6
2020.04.02	14:00:00	133.707	133.708	133.410	133.489	2301	0	6
2020.04.02	14:15:00	133.489	133.653	133.447	133.653	1837	0	6
2020.04.02	14:30:00	133.650	133.650	133.448	133.609	1771	0	8
2020.04.02	14:45:00	133.608	133.618	133.381	133.391	2005	0	6
2020.04.02	15:00:00	133.391	133.491	133.369	133.413	2813	0	6
2020.04.02	15:15:00	133.407	133.444	133.292	133.396	2899	0	6
2020.04.02	15:30:00	133.398	133.405	133.122	133.154	4444	0	6
2020.04.02	15:45:00	133.154	133.174	132.868	133.076	3641	0	6
2020.04.02	16:00:00	133.075	133.143	132.628	132.652	4181	0	6
2020.04.02	16:15:00	132.652	132.774	132.543	132.735	3919	0	6
2020.04.02	16:30:00	132.736	132.955	132.659	132.685	3915	0	6
2020.04.02	16:45:00	132.686	132.780	132.550	132.668	3751	0	6
2020.04.02	17:00:00	132.666	132.900	132.610	132.868	4255	0	6
2020.04.02	17:15:00	132.869	133.188	132.811	133.182	3566	0	6
2020.04.02	17:30:00	133.183	133.787	133.144	133.575	5211	0	6
2020.04.02	17:45:00	133.575	133.740	133.399	133.573	5130	0	6
2020.04.02	18:00:00	133.572	133.723	133.367	133.515	3778	0	6
2020.04.02	18:15:00	133.515	133.639	133.421	133.472	3303	0	6
2020.04.02	18:30:00	133.472	133.494	133.239	133.455	3485	0	6
2020.04.02	18:45:00	133.455	133.532	133.354	133.483	3163	0	6
2020.04.02	19:00:00	133.483	133.626	133.410	133.570	2751	0	6
2020.04.02	19:15:00	133.571	133.590	133.473	133.542	2735	0	6
2020.04.02	19:30:00	133.542	133.641	133.506	133.638	2277	0	6
2020.04.02	19:45:00	133.638	133.682	133.463	133.499	3214	0	6
2020.04.02	20:00:00	133.502	133.611	133.453	133.488	2369	0	6
2020.04.02	20:15:00	133.488	133.515	133.381	133.394	2776	0	6
2020.04.02	20:30:00	133.394	133.507	133.313	133.374	2851	0	6
2020.04.02	20:45:00	133.374	133.483	133.327	133.440	2073	0	6
2020.04.02	21:00:00	133.439	133.462	133.306	133.437	2376	0	6
2020.04.02	21:15:00	133.437	133.619	133.356	133.603	2892	0	7
2020.04.02	21:30:00	133.602	133.676	133.521	133.615	2632	0	6
2020.04.02	21:45:00	133.615	133.741	133.491	133.665	2969	0	6
2020.04.02	22:00:00	133.661	133.713	133.584	133.637	2945	0	6
2020.04.02	22:15:00	133.642	133.747	133.620	133.742	2185	0	6
2020.04.02	22:30:00	133.742	133.791	133.670	133.722	2620	0	10
2020.04.02	22:45:00	133.722	133.883	133.693	133.764	3218	0	6
2020.04.02	23:00:00	133.762	133.936	133.730	133.896	1212	0	6
2020.04.02	23:15:00	133.897	133.951	133.823	133.915	1058	0	8
2020.04.02	23:30:00	133.919	133.931	133.775	133.811	1269	0	6
2020.04.02	23:45:00	133.811	133.830	133.696	133.718	1789	0	6
2020.04.03	00:00:00	133.708	133.759	133.636	133.696	87	0	102
2020.04.03	00:15:00	133.696	133.741	133.696	133.735	81	0	144
2020.04.03	00:30:00	133.735	133.735	133.666	133.693	249	0	105
2020.04.03	00:45:00	133.680	133.764	133.656	133.695	132	0	83
2020.04.03	01:00:00	133.695	133.861	133.677	133.843	539	0	6
2020.04.03	01:15:00	133.840	133.924	133.765	133.867	696	0	12
2020.04.03	01:30:00	133.867	133.916	133.802	133.875	1309	0	14
2020.04.03	01:45:00	133.866	133.987	133.839	133.980	874	0	20
2020.04.03	02:00:00	133.980	134.087	133.960	134.030	1467	0	13
2020.04.03	02:15:00	134.029	134.063	133.973	134.003	950	0	12
2020.04.03	02:30:00	134.003	134.003	133.761	133.800	1337	0	11
2020.04.03	02:45:00	133.800	133.890	133.758	133.863	1211	0	9
2020.04.03	03:00:00	133.862	133.925	133.674	133.698	2247	0	6
2020.04.03	03:15:00	133.698	133.727	133.607	133.701	1583	0	7
2020.04.03	03:30:00	133.701	133.867	133.691	133.854	2071	0	9
2020.04.03	03:45:00	133.853	133.857	133.693	133.831	2500	0	7
2020.04.03	04:00:00	133.831	133.840	133.699	133.791	2444	0	8
2020.04.03	04:15:00	133.791	133.807	133.688	133.702	1959	0	11
2020.04.03	04:30:00	133.702	133.777	133.694	133.738	1063	0	12
2020.04.03	04:45:00	133.738	133.740	133.649	133.716	1299	0	12
2020.04.03	05:00:00	133.716	133.718	133.526	133.578	1349	0	7
2020.04.03	05:15:00	133.578	133.603	133.496	133.577	1406	0	10
2020.04.03	05:30:00	133.577	133.662	133.572	133.613	1280	0	7
2020.04.03	05:45:00	133.614	133.674	133.583	133.590	1137	0	7
2020.04.03	06:00:00	133.590	133.606	133.521	133.555	964	0	9
2020.04.03	06:15:00	133.556	133.607	133.534	133.587	1156	0	10
2020.04.03	06:30:00	133.588	133.618	133.511	133.561	1278	0	10
2020.04.03	06:45:00	133.561	133.663	133.544	133.585	1838	0	12
2020.04.03	07:00:00	133.587	133.661	133.570	133.572	2867	0	7
2020.04.03	07:15:00	133.572	133.595	133.518	133.572	1600	0	11
2020.04.03	07:30:00	133.572	133.593	133.507	133.525	1046	0	11
2020.04.03	07:45:00	133.525	133.703	133.523	133.700	1388	0	7
2020.04.03	08:00:00	133.700	133.719	133.523	133.547	1029	0	10
2020.04.03	08:15:00	133.546	133.588	133.524	133.544	938	0	6
2020.04.03	08:30:00	133.544	133.575	133.489	133.553	1276	0	9
2020.04.03	08:45:00	133.548	133.699	133.548	133.690	1231	0	6
2020.04.03	09:00:00	133.690	133.690	133.524	133.555	1542	0	6
2020.04.03	09:15:00	133.555	133.569	133.454	133.529	1720	0	6
2020.04.03	09:30:00	133.530	133.650	133.495	133.621	1500	0	6
2020.04.03	09:45:00	133.620	133.811	133.590	133.598	1675	0	6
2020.04.03	10:00:00	133.597	133.694	133.443	133.532	2971	0	6
2020.04.03	10:15:00	133.532	133.532	133.298	133.455	3124	0	6
2020.04.03	10:30:00	133.456	133.616	133.393	133.530	2714	0	6
2020.04.03	10:45:00	133.526	133.691	133.478	133.556	2907	0	6
2020.04.03	11:00:00	133.556	133.578	133.414	133.415	2697	0	6
2020.04.03	11:15:00	133.414	133.525	133.301	133.352	2063	0	6
2020.04.03	11:30:00	133.351	133.391	133.195	133.260	2259	0	6
2020.04.03	11:45:00	133.260	133.324	132.972	133.171	2775	0	6
2020.04.03	12:00:00	133.174	133.253	132.938	133.036	3122	0	6
2020.04.03	12:15:00	133.035	133.173	132.982	133.173	2627	0	6
2020.04.03	12:30:00	133.173	133.228	133.067	133.092	2559	0	6
2020.04.03	12:45:00	133.092	133.342	132.966	133.327	2468	0	6
2020.04.03	13:00:00	133.327	133.399	133.171	133.221	2710	0	6
2020.04.03	13:15:00	133.221	133.233	133.044	133.135	1874	0	6
