<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	1.36394	1.36627	1.36371	1.36549	183	0	18
2021.01.04	01:00:00	1.36601	1.36834	1.36549	1.36803	2179	0	3
2021.01.04	02:00:00	1.36811	1.36832	1.36590	1.36725	3877	0	3
2021.01.04	03:00:00	1.36725	1.36898	1.36707	1.36818	4019	0	3
2021.01.04	04:00:00	1.36818	1.36947	1.36806	1.36923	3055	0	3
2021.01.04	05:00:00	1.36923	1.36964	1.36893	1.36953	1863	0	3
2021.01.04	06:00:00	1.36953	1.36981	1.36758	1.36804	1881	0	3
2021.01.04	07:00:00	1.36805	1.36858	1.36678	1.36833	2400	0	3
2021.01.04	08:00:00	1.36832	1.36863	1.36736	1.36852	2802	0	3
2021.01.04	09:00:00	1.36849	1.37029	1.36793	1.36875	3970	0	3
2021.01.04	10:00:00	1.36874	1.36957	1.36716	1.36907	6408	0	3
2021.01.04	11:00:00	1.36905	1.36962	1.36642	1.36725	5024	0	3
2021.01.04	12:00:00	1.36725	1.36964	1.36705	1.36927	4093	0	3
2021.01.04	13:00:00	1.36927	1.37036	1.36642	1.36697	4471	0	3
2021.01.04	14:00:00	1.36697	1.36704	1.36455	1.36541	4839	0	3
2021.01.04	15:00:00	1.36541	1.36569	1.36135	1.36260	5877	0	3
2021.01.04	16:00:00	1.36259	1.36317	1.36019	1.36077	6411	0	3
2021.01.04	17:00:00	1.36077	1.36079	1.35611	1.35778	7105	0	3
2021.01.04	18:00:00	1.35777	1.35958	1.35493	1.35500	6443	0	3
2021.01.04	19:00:00	1.35500	1.35713	1.35414	1.35661	5164	0	3
2021.01.04	20:00:00	1.35660	1.35689	1.35514	1.35630	3397	0	3
2021.01.04	21:00:00	1.35630	1.35674	1.35519	1.35660	3712	0	3
2021.01.04	22:00:00	1.35659	1.35683	1.35514	1.35681	2791	0	3
2021.01.04	23:00:00	1.35681	1.35789	1.35538	1.35699	1980	0	3
2021.01.05	00:00:00	1.35699	1.35752	1.35611	1.35723	303	0	26
2021.01.05	01:00:00	1.35723	1.35782	1.35631	1.35707	2359	0	3
2021.01.05	02:00:00	1.35707	1.35771	1.35614	1.35708	2571	0	3
2021.01.05	03:00:00	1.35708	1.35784	1.35677	1.35691	3515	0	3
2021.01.05	04:00:00	1.35692	1.35891	1.35671	1.35854	2885	0	3
2021.01.05	05:00:00	1.35854	1.35955	1.35784	1.35853	3497	0	3
2021.01.05	06:00:00	1.35855	1.35898	1.35803	1.35867	3243	0	3
2021.01.05	07:00:00	1.35867	1.36023	1.35867	1.35972	2932	0	3
2021.01.05	08:00:00	1.35972	1.36122	1.35898	1.36061	3465	0	3
2021.01.05	09:00:00	1.36067	1.36089	1.35606	1.35692	4771	0	3
2021.01.05	10:00:00	1.35693	1.35938	1.35541	1.35598	6376	0	3
2021.01.05	11:00:00	1.35598	1.35894	1.35563	1.35726	4215	0	3
2021.01.05	12:00:00	1.35726	1.35938	1.35703	1.35857	3449	0	3
2021.01.05	13:00:00	1.35857	1.36073	1.35823	1.35897	4162	0	3
2021.01.05	14:00:00	1.35896	1.35932	1.35690	1.35842	5516	0	3
2021.01.05	15:00:00	1.35843	1.35936	1.35590	1.35670	5738	0	3
2021.01.05	16:00:00	1.35670	1.36017	1.35636	1.35989	6209	0	3
2021.01.05	17:00:00	1.35989	1.36039	1.35724	1.35932	7181	0	3
2021.01.05	18:00:00	1.35932	1.36239	1.35926	1.36176	5329	0	3
2021.01.05	19:00:00	1.36176	1.36418	1.36176	1.36328	4756	0	3
2021.01.05	20:00:00	1.36328	1.36338	1.36135	1.36275	2858	0	3
2021.01.05	21:00:00	1.36274	1.36347	1.36227	1.36292	2817	0	3
2021.01.05	22:00:00	1.36289	1.36344	1.36227	1.36258	2299	0	3
2021.01.05	23:00:00	1.36258	1.36275	1.36189	1.36235	1220	0	3
2021.01.06	00:00:00	1.36235	1.36237	1.36079	1.36224	190	0	34
2021.01.06	01:00:00	1.36224	1.36283	1.36172	1.36267	1569	0	3
2021.01.06	02:00:00	1.36267	1.36463	1.36239	1.36334	4355	0	3
2021.01.06	03:00:00	1.36334	1.36386	1.35990	1.36060	6945	0	3
2021.01.06	04:00:00	1.36063	1.36102	1.35914	1.35950	4786	0	3
2021.01.06	05:00:00	1.35950	1.36106	1.35927	1.36006	3649	0	3
2021.01.06	06:00:00	1.36006	1.36200	1.35994	1.36089	4060	0	3
2021.01.06	07:00:00	1.36088	1.36206	1.36069	1.36155	2808	0	3
2021.01.06	08:00:00	1.36155	1.36316	1.36094	1.36295	3538	0	3
2021.01.06	09:00:00	1.36287	1.36598	1.36280	1.36581	5913	0	3
2021.01.06	10:00:00	1.36581	1.36608	1.36199	1.36245	6233	0	3
2021.01.06	11:00:00	1.36245	1.36455	1.36187	1.36442	5162	0	3
2021.01.06	12:00:00	1.36441	1.36709	1.36436	1.36556	4479	0	3
2021.01.06	13:00:00	1.36556	1.36660	1.36483	1.36484	4587	0	3
2021.01.06	14:00:00	1.36478	1.36540	1.36031	1.36158	5487	0	3
2021.01.06	15:00:00	1.36158	1.36292	1.35649	1.35649	6212	0	3
2021.01.06	16:00:00	1.35641	1.35907	1.35380	1.35785	9005	0	3
2021.01.06	17:00:00	1.35779	1.35901	1.35478	1.35509	7992	0	3
2021.01.06	18:00:00	1.35508	1.35954	1.35405	1.35906	6866	0	3
2021.01.06	19:00:00	1.35905	1.36068	1.35885	1.36046	4445	0	3
2021.01.06	20:00:00	1.36046	1.36196	1.36022	1.36164	3828	0	3
2021.01.06	21:00:00	1.36165	1.36184	1.35957	1.35985	6443	0	3
2021.01.06	22:00:00	1.35985	1.36262	1.35978	1.36089	6474	0	3
2021.01.06	23:00:00	1.36089	1.36159	1.36054	1.36072	1837	0	3
2021.01.07	00:00:00	1.36072	1.36151	1.35964	1.36077	655	0	14
2021.01.07	01:00:00	1.36077	1.36264	1.36029	1.36236	2396	0	3
2021.01.07	02:00:00	1.36237	1.36328	1.36156	1.36226	3078	0	3
2021.01.07	03:00:00	1.36227	1.36290	1.36167	1.36197	3439	0	3
2021.01.07	04:00:00	1.36198	1.36204	1.35723	1.35885	3583	0	3
2021.01.07	05:00:00	1.35885	1.36013	1.35863	1.36011	2067	0	3
2021.01.07	06:00:00	1.36011	1.36091	1.35964	1.35976	2120	0	3
2021.01.07	07:00:00	1.35976	1.35988	1.35832	1.35847	2843	0	3
2021.01.07	08:00:00	1.35847	1.35937	1.35769	1.35899	2964	0	3
2021.01.07	09:00:00	1.35899	1.36000	1.35645	1.35806	3984	0	3
2021.01.07	10:00:00	1.35804	1.36268	1.35696	1.36077	6578	0	3
2021.01.07	11:00:00	1.36077	1.36164	1.35898	1.35941	6263	0	3
2021.01.07	12:00:00	1.35942	1.36073	1.35624	1.35688	5841	0	3
2021.01.07	13:00:00	1.35688	1.35919	1.35646	1.35679	4519	0	3
2021.01.07	14:00:00	1.35679	1.36091	1.35566	1.36041	4945	0	3
2021.01.07	15:00:00	1.36044	1.36130	1.35834	1.35879	5685	0	3
2021.01.07	16:00:00	1.35880	1.36033	1.35628	1.35645	7438	0	3
2021.01.07	17:00:00	1.35642	1.35737	1.35367	1.35492	7724	0	3
2021.01.07	18:00:00	1.35484	1.35690	1.35430	1.35489	5234	0	3
