<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	1.36394	1.36506	1.36371	1.36466	67	0	60
2021.01.04	00:15:00	1.36466	1.36627	1.36466	1.36499	55	0	18
2021.01.04	00:30:00	1.36499	1.36531	1.36499	1.36523	33	0	74
2021.01.04	00:45:00	1.36523	1.36615	1.36523	1.36549	28	0	42
2021.01.04	01:00:00	1.36601	1.36649	1.36549	1.36646	446	0	12
2021.01.04	01:15:00	1.36646	1.36693	1.36597	1.36687	543	0	7
2021.01.04	01:30:00	1.36687	1.36820	1.36675	1.36790	588	0	4
2021.01.04	01:45:00	1.36790	1.36834	1.36752	1.36803	602	0	3
2021.01.04	02:00:00	1.36811	1.36832	1.36661	1.36727	1114	0	5
2021.01.04	02:15:00	1.36727	1.36732	1.36658	1.36660	1057	0	3
2021.01.04	02:30:00	1.36663	1.36679	1.36590	1.36667	896	0	3
2021.01.04	02:45:00	1.36667	1.36778	1.36667	1.36725	810	0	3
2021.01.04	03:00:00	1.36725	1.36785	1.36707	1.36771	1182	0	3
2021.01.04	03:15:00	1.36769	1.36831	1.36745	1.36824	849	0	3
2021.01.04	03:30:00	1.36824	1.36898	1.36765	1.36864	1026	0	3
2021.01.04	03:45:00	1.36864	1.36894	1.36812	1.36818	962	0	3
2021.01.04	04:00:00	1.36818	1.36899	1.36806	1.36868	946	0	3
2021.01.04	04:15:00	1.36868	1.36903	1.36845	1.36875	839	0	4
2021.01.04	04:30:00	1.36875	1.36908	1.36828	1.36888	623	0	3
2021.01.04	04:45:00	1.36888	1.36947	1.36877	1.36923	647	0	3
2021.01.04	05:00:00	1.36923	1.36948	1.36893	1.36927	534	0	3
2021.01.04	05:15:00	1.36929	1.36953	1.36909	1.36944	382	0	3
2021.01.04	05:30:00	1.36944	1.36954	1.36925	1.36953	490	0	4
2021.01.04	05:45:00	1.36953	1.36964	1.36937	1.36953	457	0	3
2021.01.04	06:00:00	1.36953	1.36981	1.36937	1.36975	310	0	5
2021.01.04	06:15:00	1.36975	1.36979	1.36844	1.36847	528	0	3
2021.01.04	06:30:00	1.36847	1.36861	1.36758	1.36800	645	0	3
2021.01.04	06:45:00	1.36800	1.36823	1.36782	1.36804	398	0	3
2021.01.04	07:00:00	1.36805	1.36828	1.36794	1.36798	538	0	3
2021.01.04	07:15:00	1.36798	1.36803	1.36678	1.36716	642	0	3
2021.01.04	07:30:00	1.36716	1.36794	1.36715	1.36760	496	0	3
2021.01.04	07:45:00	1.36760	1.36858	1.36738	1.36833	724	0	3
2021.01.04	08:00:00	1.36832	1.36863	1.36761	1.36762	1012	0	3
2021.01.04	08:15:00	1.36762	1.36787	1.36736	1.36746	687	0	3
2021.01.04	08:30:00	1.36747	1.36831	1.36747	1.36814	599	0	5
2021.01.04	08:45:00	1.36814	1.36858	1.36804	1.36852	504	0	3
2021.01.04	09:00:00	1.36849	1.36978	1.36846	1.36965	924	0	3
2021.01.04	09:15:00	1.36965	1.37028	1.36884	1.36924	696	0	3
2021.01.04	09:30:00	1.36922	1.37003	1.36863	1.36963	960	0	3
2021.01.04	09:45:00	1.36963	1.37029	1.36793	1.36875	1390	0	3
2021.01.04	10:00:00	1.36874	1.36957	1.36756	1.36767	1643	0	3
2021.01.04	10:15:00	1.36766	1.36846	1.36716	1.36790	1945	0	3
2021.01.04	10:30:00	1.36790	1.36899	1.36769	1.36893	1675	0	3
2021.01.04	10:45:00	1.36893	1.36926	1.36832	1.36907	1145	0	3
2021.01.04	11:00:00	1.36905	1.36962	1.36770	1.36774	1038	0	3
2021.01.04	11:15:00	1.36774	1.36896	1.36772	1.36799	1308	0	3
2021.01.04	11:30:00	1.36806	1.36820	1.36717	1.36764	1112	0	3
2021.01.04	11:45:00	1.36764	1.36772	1.36642	1.36725	1566	0	3
2021.01.04	12:00:00	1.36725	1.36832	1.36705	1.36827	1223	0	3
2021.01.04	12:15:00	1.36827	1.36851	1.36750	1.36823	851	0	3
2021.01.04	12:30:00	1.36823	1.36884	1.36768	1.36866	996	0	3
2021.01.04	12:45:00	1.36866	1.36964	1.36855	1.36927	1023	0	3
2021.01.04	13:00:00	1.36927	1.37036	1.36884	1.36910	952	0	3
2021.01.04	13:15:00	1.36910	1.36911	1.36823	1.36824	983	0	3
2021.01.04	13:30:00	1.36824	1.36839	1.36742	1.36754	1218	0	3
2021.01.04	13:45:00	1.36754	1.36832	1.36642	1.36697	1318	0	3
2021.01.04	14:00:00	1.36697	1.36702	1.36455	1.36569	1591	0	3
2021.01.04	14:15:00	1.36568	1.36660	1.36517	1.36637	980	0	3
2021.01.04	14:30:00	1.36637	1.36704	1.36541	1.36544	1210	0	3
2021.01.04	14:45:00	1.36544	1.36613	1.36498	1.36541	1058	0	3
2021.01.04	15:00:00	1.36541	1.36569	1.36357	1.36375	1504	0	3
2021.01.04	15:15:00	1.36375	1.36406	1.36135	1.36245	1642	0	3
2021.01.04	15:30:00	1.36246	1.36380	1.36237	1.36335	1424	0	3
2021.01.04	15:45:00	1.36335	1.36374	1.36229	1.36260	1307	0	3
2021.01.04	16:00:00	1.36259	1.36314	1.36224	1.36275	1339	0	3
2021.01.04	16:15:00	1.36275	1.36315	1.36192	1.36262	1260	0	3
2021.01.04	16:30:00	1.36265	1.36302	1.36051	1.36235	1831	0	3
2021.01.04	16:45:00	1.36235	1.36317	1.36019	1.36077	1981	0	3
2021.01.04	17:00:00	1.36077	1.36079	1.35749	1.35918	1884	0	3
2021.01.04	17:15:00	1.35918	1.35967	1.35663	1.35668	1383	0	3
2021.01.04	17:30:00	1.35667	1.35792	1.35611	1.35756	1910	0	3
2021.01.04	17:45:00	1.35756	1.35851	1.35633	1.35778	1928	0	3
2021.01.04	18:00:00	1.35777	1.35873	1.35702	1.35842	1813	0	3
2021.01.04	18:15:00	1.35842	1.35958	1.35793	1.35910	1474	0	3
2021.01.04	18:30:00	1.35910	1.35916	1.35629	1.35636	1783	0	3
2021.01.04	18:45:00	1.35636	1.35647	1.35493	1.35500	1373	0	3
2021.01.04	19:00:00	1.35500	1.35509	1.35432	1.35477	1316	0	3
2021.01.04	19:15:00	1.35477	1.35583	1.35414	1.35556	1453	0	3
