<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	1.24101	1.24437	1.23958	1.24249	174	0	30
2020.04.01	00:15:00	1.24249	1.24286	1.24196	1.24197	113	0	47
2020.04.01	00:30:00	1.24197	1.24208	1.24167	1.24167	46	0	59
2020.04.01	00:45:00	1.24167	1.24218	1.24167	1.24197	36	0	143
2020.04.01	01:00:00	1.24197	1.24227	1.24075	1.24080	170	0	5
2020.04.01	01:15:00	1.24075	1.24097	1.24050	1.24082	99	0	3
2020.04.01	01:30:00	1.24083	1.24112	1.23977	1.24102	251	0	3
2020.04.01	01:45:00	1.24097	1.24145	1.23941	1.23947	645	0	11
2020.04.01	02:00:00	1.23947	1.24095	1.23947	1.24093	695	0	5
2020.04.01	02:15:00	1.24093	1.24144	1.24070	1.24132	853	0	4
2020.04.01	02:30:00	1.24132	1.24181	1.24100	1.24140	642	0	5
2020.04.01	02:45:00	1.24140	1.24147	1.24055	1.24062	831	0	6
2020.04.01	03:00:00	1.24065	1.24198	1.24060	1.24169	1480	0	7
2020.04.01	03:15:00	1.24170	1.24264	1.24156	1.24232	888	0	4
2020.04.01	03:30:00	1.24232	1.24233	1.24129	1.24183	771	0	3
2020.04.01	03:45:00	1.24183	1.24246	1.24134	1.24153	933	0	3
2020.04.01	04:00:00	1.24153	1.24175	1.24045	1.24173	817	0	7
2020.04.01	04:15:00	1.24173	1.24173	1.23996	1.24069	1077	0	3
2020.04.01	04:30:00	1.24066	1.24072	1.23917	1.23923	1045	0	6
2020.04.01	04:45:00	1.23924	1.23965	1.23749	1.23806	1068	0	3
2020.04.01	05:00:00	1.23806	1.23817	1.23620	1.23699	1662	0	4
2020.04.01	05:15:00	1.23700	1.23882	1.23686	1.23758	1537	0	5
2020.04.01	05:30:00	1.23757	1.23801	1.23686	1.23749	1380	0	8
2020.04.01	05:45:00	1.23749	1.24000	1.23714	1.23919	1159	0	3
2020.04.01	06:00:00	1.23919	1.23969	1.23868	1.23946	1095	0	3
2020.04.01	06:15:00	1.23946	1.23946	1.23740	1.23930	752	0	3
2020.04.01	06:30:00	1.23930	1.23974	1.23756	1.23867	844	0	3
2020.04.01	06:45:00	1.23868	1.23869	1.23765	1.23778	626	0	7
2020.04.01	07:00:00	1.23778	1.23855	1.23758	1.23828	414	0	3
2020.04.01	07:15:00	1.23828	1.23861	1.23804	1.23833	758	0	3
2020.04.01	07:30:00	1.23833	1.23884	1.23803	1.23839	544	0	3
2020.04.01	07:45:00	1.23839	1.23848	1.23753	1.23767	925	0	3
2020.04.01	08:00:00	1.23768	1.23794	1.23717	1.23747	756	0	3
2020.04.01	08:15:00	1.23747	1.23879	1.23734	1.23878	736	0	3
2020.04.01	08:30:00	1.23878	1.23932	1.23771	1.23791	1063	0	3
2020.04.01	08:45:00	1.23791	1.23840	1.23700	1.23833	1259	0	3
2020.04.01	09:00:00	1.23835	1.23841	1.23640	1.23741	1464	0	3
2020.04.01	09:15:00	1.23740	1.23745	1.23471	1.23608	2168	0	3
2020.04.01	09:30:00	1.23608	1.23745	1.23370	1.23417	2025	0	3
2020.04.01	09:45:00	1.23416	1.23570	1.23301	1.23428	1671	0	3
2020.04.01	10:00:00	1.23420	1.23556	1.23397	1.23518	2608	0	3
2020.04.01	10:15:00	1.23518	1.23521	1.23330	1.23346	1898	0	3
2020.04.01	10:30:00	1.23346	1.23631	1.23333	1.23561	1853	0	3
2020.04.01	10:45:00	1.23563	1.23779	1.23494	1.23538	2093	0	3
2020.04.01	11:00:00	1.23540	1.23641	1.23500	1.23592	1687	0	3
2020.04.01	11:15:00	1.23593	1.23667	1.23363	1.23443	1687	0	3
2020.04.01	11:30:00	1.23443	1.23596	1.23356	1.23580	1537	0	3
2020.04.01	11:45:00	1.23580	1.23766	1.23516	1.23706	1382	0	3
2020.04.01	12:00:00	1.23706	1.23714	1.23513	1.23610	2069	0	3
2020.04.01	12:15:00	1.23607	1.23614	1.23485	1.23561	1976	0	3
2020.04.01	12:30:00	1.23561	1.23697	1.23561	1.23642	1751	0	3
2020.04.01	12:45:00	1.23642	1.23678	1.23549	1.23601	1397	0	3
2020.04.01	13:00:00	1.23601	1.23660	1.23543	1.23627	997	0	3
2020.04.01	13:15:00	1.23627	1.23820	1.23626	1.23736	1428	0	3
2020.04.01	13:30:00	1.23736	1.23877	1.23685	1.23809	1726	0	3
2020.04.01	13:45:00	1.23809	1.23959	1.23750	1.23783	1431	0	3
2020.04.01	14:00:00	1.23783	1.23957	1.23746	1.23935	1314	0	3
2020.04.01	14:15:00	1.23935	1.23980	1.23793	1.23860	1114	0	3
2020.04.01	14:30:00	1.23860	1.23938	1.23812	1.23822	1141	0	3
2020.04.01	14:45:00	1.23822	1.23833	1.23665	1.23823	1206	0	3
2020.04.01	15:00:00	1.23822	1.23826	1.23599	1.23633	1729	0	3
2020.04.01	15:15:00	1.23634	1.23765	1.23577	1.23674	1516	0	3
2020.04.01	15:30:00	1.23675	1.23888	1.23672	1.23871	1395	0	3
2020.04.01	15:45:00	1.23871	1.23946	1.23799	1.23840	1671	0	3
2020.04.01	16:00:00	1.23839	1.24054	1.23779	1.24054	1386	0	3
2020.04.01	16:15:00	1.24053	1.24054	1.23929	1.23984	1515	0	3
2020.04.01	16:30:00	1.23984	1.24256	1.23926	1.24234	1865	0	3
2020.04.01	16:45:00	1.24234	1.24259	1.24120	1.24244	1807	0	3
2020.04.01	17:00:00	1.24237	1.24381	1.24074	1.24381	2206	0	3
2020.04.01	17:15:00	1.24379	1.24379	1.24228	1.24276	1511	0	3
2020.04.01	17:30:00	1.24278	1.24282	1.24093	1.24132	1833	0	3
2020.04.01	17:45:00	1.24130	1.24386	1.24121	1.24239	3181	0	3
2020.04.01	18:00:00	1.24240	1.24242	1.23870	1.23884	2389	0	3
2020.04.01	18:15:00	1.23884	1.24055	1.23884	1.23990	1787	0	3
2020.04.01	18:30:00	1.23989	1.24074	1.23908	1.24035	1434	0	3
2020.04.01	18:45:00	1.24035	1.24044	1.23882	1.23920	1456	0	3
2020.04.01	19:00:00	1.23920	1.23978	1.23867	1.23942	1130	0	3
2020.04.01	19:15:00	1.23942	1.23989	1.23876	1.23975	1107	0	3
2020.04.01	19:30:00	1.23975	1.24104	1.23965	1.24012	1159	0	3
2020.04.01	19:45:00	1.24012	1.24094	1.23892	1.23947	1416	0	3
2020.04.01	20:00:00	1.23946	1.23964	1.23848	1.23912	1018	0	3
2020.04.01	20:15:00	1.23912	1.23964	1.23795	1.23855	1327	0	3
2020.04.01	20:30:00	1.23855	1.23864	1.23764	1.23793	995	0	3
2020.04.01	20:45:00	1.23793	1.23979	1.23727	1.23968	1394	0	3
2020.04.01	21:00:00	1.23966	1.24172	1.23895	1.23898	1563	0	3
2020.04.01	21:15:00	1.23898	1.23997	1.23871	1.23875	907	0	3
2020.04.01	21:30:00	1.23875	1.23956	1.23844	1.23901	786	0	3
2020.04.01	21:45:00	1.23901	1.23928	1.23672	1.23679	1346	0	3
2020.04.01	22:00:00	1.23685	1.23825	1.23685	1.23788	1220	0	3
2020.04.01	22:15:00	1.23788	1.23864	1.23737	1.23784	1113	0	3
2020.04.01	22:30:00	1.23782	1.23965	1.23779	1.23938	1302	0	3
2020.04.01	22:45:00	1.23938	1.23994	1.23883	1.23952	1615	0	3
2020.04.01	23:00:00	1.23952	1.24001	1.23935	1.23961	845	0	3
2020.04.01	23:15:00	1.23961	1.24004	1.23887	1.23893	835	0	3
2020.04.01	23:30:00	1.23895	1.23948	1.23752	1.23786	1392	0	3
2020.04.01	23:45:00	1.23786	1.23857	1.23633	1.23714	1032	0	3
2020.04.02	00:00:00	1.23735	1.23973	1.23678	1.23946	221	0	7
2020.04.02	00:15:00	1.23946	1.24022	1.23665	1.23907	291	0	8
2020.04.02	00:30:00	1.23907	1.23927	1.23826	1.23826	41	0	49
2020.04.02	00:45:00	1.23826	1.23886	1.23814	1.23864	56	0	33
2020.04.02	01:00:00	1.23864	1.23992	1.23844	1.23977	295	0	14
2020.04.02	01:15:00	1.23977	1.23977	1.23897	1.23902	181	0	12
2020.04.02	01:30:00	1.23902	1.23971	1.23886	1.23938	381	0	3
2020.04.02	01:45:00	1.23939	1.23994	1.23935	1.23959	302	0	8
2020.04.02	02:00:00	1.23959	1.23976	1.23768	1.23839	425	0	4
2020.04.02	02:15:00	1.23840	1.23853	1.23795	1.23816	375	0	4
2020.04.02	02:30:00	1.23816	1.23885	1.23800	1.23810	327	0	4
2020.04.02	02:45:00	1.23810	1.23824	1.23778	1.23797	228	0	10
2020.04.02	03:00:00	1.23800	1.23867	1.23785	1.23822	584	0	3
2020.04.02	03:15:00	1.23822	1.23843	1.23735	1.23778	673	0	3
2020.04.02	03:30:00	1.23778	1.23861	1.23742	1.23801	1036	0	3
2020.04.02	03:45:00	1.23801	1.24014	1.23744	1.23894	1162	0	3
2020.04.02	04:00:00	1.23894	1.24089	1.23853	1.24045	1043	0	3
2020.04.02	04:15:00	1.24045	1.24045	1.23936	1.23942	872	0	4
2020.04.02	04:30:00	1.23942	1.23948	1.23841	1.23893	1025	0	5
2020.04.02	04:45:00	1.23893	1.23976	1.23853	1.23869	533	0	3
2020.04.02	05:00:00	1.23869	1.23959	1.23846	1.23947	742	0	6
2020.04.02	05:15:00	1.23947	1.23964	1.23893	1.23896	345	0	3
2020.04.02	05:30:00	1.23896	1.23924	1.23847	1.23847	668	0	4
2020.04.02	05:45:00	1.23847	1.23899	1.23821	1.23836	343	0	5
2020.04.02	06:00:00	1.23836	1.23838	1.23765	1.23804	422	0	4
2020.04.02	06:15:00	1.23804	1.23854	1.23764	1.23835	390	0	3
2020.04.02	06:30:00	1.23835	1.23913	1.23833	1.23868	278	0	3
2020.04.02	06:45:00	1.23868	1.23916	1.23837	1.23845	401	0	6
2020.04.02	07:00:00	1.23846	1.23846	1.23794	1.23805	173	0	4
2020.04.02	07:15:00	1.23805	1.23835	1.23768	1.23828	302	0	3
2020.04.02	07:30:00	1.23828	1.23863	1.23817	1.23863	360	0	3
2020.04.02	07:45:00	1.23863	1.23891	1.23858	1.23890	340	0	3
2020.04.02	08:00:00	1.23890	1.24006	1.23881	1.23971	492	0	3
2020.04.02	08:15:00	1.23971	1.24045	1.23958	1.24028	773	0	4
2020.04.02	08:30:00	1.24028	1.24067	1.23989	1.24011	753	0	3
2020.04.02	08:45:00	1.24011	1.24113	1.24011	1.24104	703	0	3
2020.04.02	09:00:00	1.24094	1.24278	1.24094	1.24240	1363	0	3
2020.04.02	09:15:00	1.24240	1.24317	1.24192	1.24249	1079	0	3
2020.04.02	09:30:00	1.24249	1.24281	1.24063	1.24183	1353	0	3
2020.04.02	09:45:00	1.24182	1.24183	1.23937	1.24008	1407	0	3
2020.04.02	10:00:00	1.24009	1.24192	1.23981	1.24081	2073	0	3
2020.04.02	10:15:00	1.24081	1.24133	1.24010	1.24065	1414	0	3
2020.04.02	10:30:00	1.24065	1.24146	1.23995	1.24143	1187	0	3
2020.04.02	10:45:00	1.24143	1.24178	1.24013	1.24063	1165	0	3
2020.04.02	11:00:00	1.24063	1.24102	1.23887	1.23968	1558	0	3
2020.04.02	11:15:00	1.23968	1.24031	1.23883	1.23883	1224	0	3
2020.04.02	11:30:00	1.23882	1.24188	1.23871	1.24143	1286	0	3
2020.04.02	11:45:00	1.24143	1.24243	1.24087	1.24239	1388	0	3
2020.04.02	12:00:00	1.24239	1.24240	1.24083	1.24197	1419	0	3
2020.04.02	12:15:00	1.24198	1.24363	1.24157	1.24312	1515	0	3
2020.04.02	12:30:00	1.24310	1.24455	1.24248	1.24400	1122	0	3
2020.04.02	12:45:00	1.24400	1.24624	1.24354	1.24613	1519	0	3
2020.04.02	13:00:00	1.24613	1.24621	1.24459	1.24549	1560	0	3
2020.04.02	13:15:00	1.24549	1.24751	1.24500	1.24606	1427	0	3
2020.04.02	13:30:00	1.24606	1.24654	1.24399	1.24517	1565	0	3
2020.04.02	13:45:00	1.24517	1.24605	1.24421	1.24471	1446	0	3
2020.04.02	14:00:00	1.24470	1.24471	1.24234	1.24354	1661	0	3
2020.04.02	14:15:00	1.24354	1.24543	1.24255	1.24503	1369	0	3
2020.04.02	14:30:00	1.24503	1.24503	1.24333	1.24471	1344	0	3
2020.04.02	14:45:00	1.24471	1.24481	1.24279	1.24284	1385	0	3
2020.04.02	15:00:00	1.24282	1.24339	1.24187	1.24303	1912	0	3
2020.04.02	15:15:00	1.24300	1.24411	1.24181	1.24372	1630	0	3
2020.04.02	15:30:00	1.24374	1.24546	1.24250	1.24345	2648	0	3
2020.04.02	15:45:00	1.24345	1.24354	1.24011	1.24150	2362	0	3
2020.04.02	16:00:00	1.24150	1.24227	1.23724	1.23736	3056	0	3
2020.04.02	16:15:00	1.23736	1.23850	1.23605	1.23723	2454	0	3
2020.04.02	16:30:00	1.23723	1.23876	1.23631	1.23684	2176	0	3
2020.04.02	16:45:00	1.23684	1.23765	1.23517	1.23683	2125	0	3
2020.04.02	17:00:00	1.23684	1.23817	1.23552	1.23783	2769	0	3
2020.04.02	17:15:00	1.23785	1.24010	1.23747	1.23875	2165	0	3
2020.04.02	17:30:00	1.23876	1.24090	1.23857	1.23879	4133	0	3
2020.04.02	17:45:00	1.23880	1.23968	1.23665	1.23751	3703	0	3
2020.04.02	18:00:00	1.23752	1.23935	1.23608	1.23935	2856	0	3
2020.04.02	18:15:00	1.23935	1.24119	1.23826	1.23917	2407	0	3
2020.04.02	18:30:00	1.23916	1.23920	1.23577	1.23687	2444	0	3
2020.04.02	18:45:00	1.23687	1.23817	1.23650	1.23762	2012	0	3
2020.04.02	19:00:00	1.23764	1.23886	1.23686	1.23850	1893	0	3
2020.04.02	19:15:00	1.23851	1.23900	1.23679	1.23726	1665	0	3
2020.04.02	19:30:00	1.23726	1.23793	1.23691	1.23764	1365	0	3
2020.04.02	19:45:00	1.23764	1.23769	1.23560	1.23653	2228	0	3
2020.04.02	20:00:00	1.23653	1.23735	1.23632	1.23726	1476	0	3
2020.04.02	20:15:00	1.23726	1.23769	1.23611	1.23611	1239	0	3
2020.04.02	20:30:00	1.23611	1.23633	1.23484	1.23591	1365	0	3
2020.04.02	20:45:00	1.23591	1.23735	1.23578	1.23642	1098	0	3
2020.04.02	21:00:00	1.23642	1.23695	1.23577	1.23669	1119	0	3
2020.04.02	21:15:00	1.23669	1.23849	1.23631	1.23843	1320	0	3
2020.04.02	21:30:00	1.23843	1.23890	1.23771	1.23871	1231	0	3
2020.04.02	21:45:00	1.23871	1.24006	1.23760	1.23963	1549	0	3
2020.04.02	22:00:00	1.23961	1.24006	1.23878	1.23891	1142	0	3
2020.04.02	22:15:00	1.23896	1.23933	1.23849	1.23931	1108	0	3
2020.04.02	22:30:00	1.23931	1.23957	1.23889	1.23898	952	0	3
2020.04.02	22:45:00	1.23898	1.24042	1.23891	1.23959	1683	0	3
