<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	107.525	107.563	107.470	107.509	214	0	51
2020.04.01	01:00:00	107.509	107.764	107.480	107.763	4140	0	1
2020.04.01	02:00:00	107.760	107.760	107.400	107.508	4575	0	1
2020.04.01	03:00:00	107.503	107.583	107.253	107.489	7939	0	1
2020.04.01	04:00:00	107.489	107.736	107.427	107.711	6431	0	1
2020.04.01	05:00:00	107.711	107.938	107.671	107.692	4935	0	1
2020.04.01	06:00:00	107.692	107.845	107.626	107.791	4310	0	1
2020.04.01	07:00:00	107.791	107.830	107.704	107.760	3104	0	1
2020.04.01	08:00:00	107.760	107.812	107.319	107.382	6215	0	1
2020.04.01	09:00:00	107.381	107.597	107.282	107.573	8002	0	1
2020.04.01	10:00:00	107.573	107.693	107.456	107.649	8933	0	1
2020.04.01	11:00:00	107.650	107.788	107.462	107.472	7023	0	1
2020.04.01	12:00:00	107.472	107.668	107.426	107.604	6830	0	1
2020.04.01	13:00:00	107.604	107.654	107.450	107.570	4238	0	1
2020.04.01	14:00:00	107.571	107.650	107.502	107.521	4951	0	1
2020.04.01	15:00:00	107.520	107.607	107.295	107.389	6667	0	1
2020.04.01	16:00:00	107.390	107.472	107.172	107.210	6779	0	1
2020.04.01	17:00:00	107.219	107.385	107.040	107.116	8447	0	1
2020.04.01	18:00:00	107.117	107.321	107.015	107.045	6023	0	1
2020.04.01	19:00:00	107.045	107.207	106.998	107.081	5057	0	1
2020.04.01	20:00:00	107.081	107.325	107.078	107.260	4808	0	1
2020.04.01	21:00:00	107.260	107.271	107.099	107.230	4464	0	1
2020.04.01	22:00:00	107.226	107.232	106.917	107.131	7132	0	1
2020.04.01	23:00:00	107.130	107.194	107.046	107.156	3425	0	1
2020.04.02	00:00:00	107.156	107.160	107.040	107.101	616	0	5
2020.04.02	01:00:00	107.101	107.231	107.074	107.198	3607	0	1
2020.04.02	02:00:00	107.200	107.319	107.184	107.294	3237	0	1
2020.04.02	03:00:00	107.293	107.485	107.143	107.413	6855	0	1
2020.04.02	04:00:00	107.413	107.570	107.295	107.501	6217	0	1
2020.04.02	05:00:00	107.501	107.514	107.370	107.488	3814	0	1
2020.04.02	06:00:00	107.488	107.506	107.392	107.433	3303	0	1
