<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	107.525	107.552	107.470	107.537	30	0	61
2020.04.01	00:15:00	107.537	107.555	107.514	107.540	83	0	57
2020.04.01	00:30:00	107.540	107.563	107.523	107.523	74	0	51
2020.04.01	00:45:00	107.523	107.527	107.509	107.509	27	0	55
2020.04.01	01:00:00	107.509	107.551	107.480	107.551	707	0	2
2020.04.01	01:15:00	107.551	107.554	107.519	107.533	870	0	1
2020.04.01	01:30:00	107.533	107.683	107.527	107.607	1451	0	1
2020.04.01	01:45:00	107.607	107.764	107.585	107.763	1112	0	1
2020.04.01	02:00:00	107.760	107.760	107.650	107.653	1210	0	2
2020.04.01	02:15:00	107.653	107.671	107.408	107.408	850	0	1
2020.04.01	02:30:00	107.408	107.501	107.400	107.492	1441	0	1
2020.04.01	02:45:00	107.491	107.559	107.462	107.508	1074	0	1
2020.04.01	03:00:00	107.503	107.520	107.309	107.351	2259	0	1
2020.04.01	03:15:00	107.349	107.408	107.253	107.282	1735	0	1
2020.04.01	03:30:00	107.282	107.429	107.271	107.362	1671	0	1
2020.04.01	03:45:00	107.362	107.583	107.289	107.489	2274	0	1
2020.04.01	04:00:00	107.489	107.554	107.427	107.506	1591	0	1
2020.04.01	04:15:00	107.502	107.645	107.470	107.603	1735	0	1
2020.04.01	04:30:00	107.603	107.736	107.589	107.699	1748	0	1
2020.04.01	04:45:00	107.698	107.723	107.609	107.711	1357	0	1
2020.04.01	05:00:00	107.711	107.938	107.671	107.863	1639	0	1
2020.04.01	05:15:00	107.863	107.898	107.747	107.785	1148	0	1
2020.04.01	05:30:00	107.786	107.835	107.735	107.779	1234	0	1
2020.04.01	05:45:00	107.780	107.787	107.692	107.692	914	0	1
2020.04.01	06:00:00	107.692	107.707	107.626	107.684	1317	0	1
2020.04.01	06:15:00	107.684	107.742	107.642	107.702	1022	0	1
2020.04.01	06:30:00	107.702	107.845	107.659	107.790	1171	0	1
2020.04.01	06:45:00	107.791	107.822	107.758	107.791	800	0	1
2020.04.01	07:00:00	107.791	107.830	107.757	107.780	771	0	1
2020.04.01	07:15:00	107.780	107.820	107.731	107.732	715	0	1
2020.04.01	07:30:00	107.732	107.776	107.705	107.720	897	0	1
2020.04.01	07:45:00	107.720	107.774	107.704	107.760	721	0	1
2020.04.01	08:00:00	107.760	107.812	107.708	107.719	900	0	1
2020.04.01	08:15:00	107.719	107.761	107.581	107.613	1045	0	1
2020.04.01	08:30:00	107.613	107.615	107.466	107.489	2192	0	1
2020.04.01	08:45:00	107.488	107.500	107.319	107.382	2078	0	1
2020.04.01	09:00:00	107.381	107.411	107.282	107.370	2174	0	1
2020.04.01	09:15:00	107.370	107.487	107.315	107.477	2102	0	1
2020.04.01	09:30:00	107.480	107.556	107.372	107.536	1947	0	1
2020.04.01	09:45:00	107.536	107.597	107.465	107.573	1779	0	1
2020.04.01	10:00:00	107.573	107.693	107.534	107.610	2917	0	1
2020.04.01	10:15:00	107.610	107.620	107.507	107.541	2038	0	1
2020.04.01	10:30:00	107.541	107.564	107.456	107.480	1948	0	1
2020.04.01	10:45:00	107.479	107.672	107.476	107.649	2030	0	1
2020.04.01	11:00:00	107.650	107.683	107.572	107.671	1937	0	1
2020.04.01	11:15:00	107.671	107.788	107.624	107.753	1685	0	1
2020.04.01	11:30:00	107.753	107.753	107.573	107.614	1926	0	1
2020.04.01	11:45:00	107.614	107.670	107.462	107.472	1475	0	1
2020.04.01	12:00:00	107.472	107.578	107.426	107.566	1999	0	1
2020.04.01	12:15:00	107.566	107.668	107.530	107.540	1957	0	1
2020.04.01	12:30:00	107.540	107.646	107.484	107.629	1671	0	1
2020.04.01	12:45:00	107.629	107.663	107.580	107.604	1203	0	1
2020.04.01	13:00:00	107.604	107.654	107.538	107.540	853	0	1
2020.04.01	13:15:00	107.540	107.600	107.518	107.568	1075	0	1
2020.04.01	13:30:00	107.568	107.578	107.454	107.481	988	0	1
2020.04.01	13:45:00	107.481	107.591	107.450	107.570	1322	0	1
2020.04.01	14:00:00	107.571	107.650	107.502	107.531	1483	0	1
2020.04.01	14:15:00	107.531	107.589	107.510	107.585	1259	0	1
2020.04.01	14:30:00	107.585	107.607	107.520	107.576	1113	0	1
2020.04.01	14:45:00	107.576	107.606	107.510	107.521	1096	0	1
2020.04.01	15:00:00	107.520	107.607	107.470	107.472	1667	0	1
2020.04.01	15:15:00	107.475	107.585	107.469	107.537	2044	0	1
2020.04.01	15:30:00	107.537	107.544	107.366	107.378	1676	0	1
2020.04.01	15:45:00	107.378	107.402	107.295	107.389	1280	0	1
2020.04.01	16:00:00	107.390	107.472	107.349	107.355	1207	0	1
